episode,steps,reward,discounted_reward,steps,distance_traveled
0,112,-452.4632262326469,-271.39520096844785,112,587.0196
10,901,-463.9886630291427,-285.5028958352766,93,247.43118
20,1537,-453.65698448591314,-331.8143273810768,56,-277.18982
30,2187,-457.3652985286816,-351.58399720128745,50,-84.42006
40,2816,-455.48657402793856,-305.7715120845261,74,82.994446
50,3547,-459.87803717711756,-282.6042248113793,77,176.70718
60,4267,-451.39386509227495,-306.6053127767295,87,187.78903
70,5034,-450.27528925178405,-313.1723527924831,66,19.911064
80,5649,-460.0026872481333,-321.0060350574254,68,69.521194
90,6268,-457.1351287264758,-331.8241929498885,63,328.67892
100,7027,-461.2955440078609,-340.2731940251689,48,-242.3291
110,7719,-458.53994282856934,-358.1538006953987,50,-159.21707
120,8520,-454.4996398002495,-272.07450914559104,107,287.96622
130,9230,-461.63854441792205,-354.2977967704908,46,-3.227623
140,10020,-451.06672350626746,-302.38183324002927,73,45.847717
150,10638,-461.25343356818394,-263.62270588224936,85,462.30695
160,11309,-457.07231419921334,-280.1204330980028,83,204.64786
170,12099,-455.9843072551496,-264.4446659099289,83,578.19696
180,12761,-459.04592968596467,-338.8253203096684,53,135.4103
190,13478,-453.6900489580696,-329.8241341745907,104,545.40796
200,14294,-452.7406065103378,-307.85774348144344,67,134.9862
210,14894,-461.3400560594716,-304.6150775792149,65,2.2780304
220,15647,-452.6282249186681,-326.10031182952645,65,312.39822
230,16258,-450.8938351564666,-328.6026485149844,52,59.968765
240,16902,-457.5376914426309,-319.9517167826648,57,150.55128
250,17649,-456.3519017950894,-334.940728297702,64,299.96188
260,18322,-450.2676146013235,-290.4934478073977,108,296.84317
270,19051,-451.8302015477102,-279.91574196145945,142,830.60114
280,19867,-452.41737719308463,-310.807303890267,78,289.1492
290,20570,-450.6467833615795,-261.2205976247317,90,747.9421
300,21196,-455.90734002696394,-309.63672410228304,87,269.56104
310,21857,-454.85320862827575,-345.2379937186031,49,-48.168846
320,22586,-450.5892411999235,-306.3754978809679,69,29.516632
330,23339,-451.328109974305,-341.181221135817,60,49.294876
340,23966,-454.64748694776694,-331.06809237840383,59,-70.13577
350,24513,-451.76566546020723,-351.1174111976028,46,-70.32766
360,25200,-460.65705509987373,-242.07740762443945,88,474.10645
370,25985,-455.44672411145547,-236.84348433255062,95,279.37503
380,26681,-453.58595986757604,-317.2086353779445,58,-123.04923
390,27358,-456.9907471553888,-302.6389390623601,85,213.93158
400,27981,-450.6389217998946,-340.08757606492725,54,10.998138
410,28566,-455.9612300248238,-359.28506969150783,43,-11.121872
420,29153,-460.74969073524613,-309.98045929873626,61,103.737946
430,29798,-458.5549329359384,-301.60421568507496,87,175.09778
440,30493,-456.17971641398003,-337.4382230035728,55,-185.37262
450,31128,-454.45221453602517,-336.5257190275292,58,19.051369
460,31790,-459.65660868002846,-337.3134763057916,62,118.468475
470,32560,-458.05795101047516,-314.7629422617513,72,117.5968
480,33178,-450.716536184234,-272.1120918288812,79,298.86542
490,33782,-457.4370700333356,-291.31008098305915,80,586.5903
500,34446,-462.80228158910614,-310.1806588717915,62,41.113495
510,35237,-456.1791288644929,-289.079631046799,106,404.83063
520,35907,-451.3622363234994,-341.7926211230619,47,7.765747
530,36639,-452.73489235795944,-305.0450680229025,73,61.245163
540,37264,-452.55948289232424,-304.12292957679193,75,135.39467
550,37914,-456.5984770966547,-275.0540948075659,82,59.81465
