episode,steps,reward,discounted_reward,steps,distance_traveled
0,52,-506.80052169084547,-286.9659936944549,52,-18.791168212890625
10,716,-504.4075555181507,-144.67622093630445,104,384.8718566894531
20,1417,-506.4249578863382,-230.22855561222948,59,235.33282470703125
30,2033,-503.1688155756147,-200.44159274787668,83,763.3758544921875
40,2727,-501.4520274812541,-234.47206578429228,65,276.7507629394531
50,3429,-506.5928578165919,-228.61456222542682,70,85.69007873535156
60,4068,-503.4679305195807,-298.4832000644949,58,19.34107208251953
70,4667,-505.1993722411991,-245.41525584436243,60,364.9640197753906
80,5316,-510.4894455655665,-219.33179296182527,61,131.71731567382812
90,5864,-508.02319580912604,-174.4931233392166,72,75.05082702636719
100,6613,-506.4382539272311,-259.86944196578486,60,73.66477966308594
110,7275,-500.07143716543914,-253.76302557552145,68,690.3818359375
120,7924,-509.57467173337943,-316.28831065393507,43,-61.92369842529297
130,8524,-505.41527246117596,-278.34439340575767,67,64.13763427734375
140,9228,-501.6041787147524,-215.90670803759463,84,620.4735717773438
150,9954,-517.255409496054,-259.0023405105604,56,50.926513671875
160,10645,-505.3892855953051,-240.60196376586075,66,165.8770751953125
170,11337,-502.6495066312703,-201.33820352647922,86,277.1495056152344
180,12126,-503.94375389218334,-300.52150148502903,45,141.71900939941406
190,12783,-509.410621971339,-205.89718392400403,90,276.5772399902344
200,13477,-509.6305023394898,-200.9567733154195,75,697.7611694335938
210,14004,-509.92979982849215,-277.48496714410294,71,362.7586975097656
220,14685,-511.509087933898,-209.0925257364246,75,119.59220886230469
230,15384,-503.49036891281605,-234.1338900930286,82,226.94512939453125
240,16055,-517.1373865539954,-226.0845303738305,61,-23.202415466308594
250,16699,-511.50320030510426,-238.2446539853628,68,382.408447265625
260,17397,-508.56691740602264,-268.9171068402227,56,481.72503662109375
270,18042,-501.289181560874,-303.727637544,44,-253.09259033203125
280,18815,-511.42230438783776,-194.1903393936992,87,803.3345947265625
290,19509,-510.1073718662932,-283.69291534556265,49,231.98269653320312
300,20174,-500.798963289857,-224.9578673526774,104,1140.460205078125
310,20980,-505.42270435333245,-297.9007219107079,46,16.2796630859375
320,21543,-518.6995243960619,-302.9009133667117,41,-172.60688018798828
330,22153,-501.98860090002427,-224.6367766275999,75,236.88677978515625
340,22772,-517.304254605174,-276.1847529618495,50,105.63275146484375
350,23357,-511.2611324607953,-314.3382049966386,40,89.04541015625
360,24130,-512.9853823798894,-213.72581294105052,80,501.333740234375
370,24800,-503.94997664570815,-219.7066380819062,69,40.11004638671875
380,25486,-503.19552987411606,-277.8180243049002,54,245.3804931640625
390,26240,-502.1600920152664,-228.20662380337816,79,680.8661499023438
400,26964,-507.0734418756142,-249.4340012418938,75,213.27960205078125
410,27597,-503.73896752074364,-286.54468565846054,54,-233.5482177734375
420,28269,-507.38335938572897,-215.8074942803916,68,154.19651794433594
430,28847,-505.34419727548953,-206.97446779715375,73,210.80123901367188
440,29468,-502.74349057853215,-253.0767525155775,64,100.09732055664062
450,30055,-501.15688772857186,-283.51299136412166,43,-6.687156677246094
460,30767,-504.7179250904919,-243.10673082675265,64,143.72540283203125
470,31529,-508.1558898414671,-230.61783964460878,74,338.7657470703125
480,32170,-500.82193603068583,-282.17207451327914,52,33.58967590332031
490,32655,-509.10603476524346,-300.8113327962066,48,-13.233039855957031
500,33352,-503.5885927110913,-259.2704871380337,64,79.25935363769531
510,34001,-509.23430237203837,-208.3573188164047,62,371.2811279296875
520,34708,-505.81767287135125,-129.1675007085066,107,475.0843505859375
530,35398,-508.76347446740607,-259.4834642646029,60,169.5789794921875
540,36123,-503.840767729245,-193.2826021782639,82,343.13214111328125
550,36761,-513.8229598796369,-289.9783875619693,47,89.33671569824219
560,37523,-510.27911063820136,-184.77218080344005,95,761.923095703125
570,38262,-511.21793210625646,-193.5460868098391,83,174.75262451171875
580,39015,-506.46387728214256,-274.154057527372,55,36.52284240722656
590,39746,-500.8102539030461,-201.20807031689137,74,449.58203125
600,40441,-503.0085138624908,-298.8022786483882,57,75.89744567871094
610,41073,-500.1621425306797,-261.0041393042636,53,76.02288818359375
620,41720,-501.6090284067392,-254.46925089638123,57,52.28062438964844
630,42363,-507.1112236571311,-259.17884750913805,76,464.812744140625
640,43056,-514.5608832126857,-307.43870084135165,47,-13.650550842285156
650,43728,-505.23064223647134,-201.6653199332658,72,795.2523803710938
660,44458,-501.7143987220526,-177.36855470481413,88,217.85934448242188
670,45060,-517.2434074079246,-303.72667141261707,42,0.23331451416015625
680,45686,-500.2334022784234,-281.7250825998984,58,48.64707946777344
690,46370,-506.6442256766138,-240.40984495326535,59,180.74285888671875
700,47030,-500.6284728616477,-160.09880753442704,96,720.2503051757812
710,47640,-505.0884429359436,-265.8565963455942,54,299.1117858886719
720,48377,-502.18368873626014,-210.93034976448212,75,271.52545166015625
730,48937,-500.66356870770454,-296.29402317937866,43,-199.9744415283203
740,49678,-508.0042051517219,-224.38627707874633,75,415.04071044921875
750,50380,-500.9603800898976,-233.44414509276658,60,447.4046630859375
760,51031,-501.1324363988637,-209.72033228214136,76,790.8721313476562
770,51696,-506.0502562963963,-259.4646565227511,52,-91.84826564788818
780,52333,-501.4162318855524,-231.54362105804097,63,-73.78192329406738
790,52961,-500.52391660250726,-238.7038779921421,60,198.66940307617188
800,53553,-508.82465393066406,-322.11406270949436,41,14.693435668945312
810,54283,-503.0844995392115,-234.97221584774306,105,617.6970825195312
820,54916,-509.65221894279125,-284.76495505248215,47,-156.75951766967773
830,55532,-510.53312265038494,-263.03804218785757,62,-144.5152473449707
840,56207,-505.9786637843122,-294.53298253215075,54,-423.7803039550781
850,56979,-509.53552871525295,-261.281249492135,66,123.43785095214844
860,57607,-505.9654566115142,-142.77814120401902,107,469.66436767578125
