episode,steps,reward,discounted_reward,steps,distance_traveled
0,54,-513.051664519446,-252.42419890013525,54,36.70317077636719
10,651,-565.7859302886195,-411.75596126695604,20,149.80174255371094
20,1126,-535.3488090918529,-167.60647322416114,68,302.1829833984375
30,1749,-515.8051174147125,-204.90233105253688,73,706.2349853515625
40,2254,-509.1408911153148,-403.3613732300252,15,57.608734130859375
50,2783,-556.3316784750172,-420.98865270129755,17,73.33308410644531
60,3306,-514.4448052247327,-192.13533112657467,85,1112.3031005859375
70,3862,-538.8598972621272,-258.06156371226723,44,401.1221923828125
80,4450,-500.4685674398195,-310.4855918709655,44,-46.45759963989258
90,4960,-515.354758315907,-322.3534164149181,40,-181.28579711914062
100,5468,-502.74965831765076,-254.52425105772807,68,82.41841125488281
110,6091,-520.7421043660157,-297.5778542405598,33,319.2127685546875
120,6545,-520.2723711368184,-353.4519096724826,33,-319.80101013183594
130,7112,-582.115568902228,-377.0919375537436,27,83.61726379394531
140,7697,-504.4054250906258,-318.8640202972505,40,-16.975830078125
150,8204,-501.01254606219373,-249.27728137318968,50,515.3048095703125
160,8593,-501.4509256857462,-290.7394940773984,47,1.4673690795898438
170,9157,-518.6405563501842,-200.7097850271398,66,571.5026245117188
180,9640,-506.9569810438555,-257.715361395506,55,115.6712646484375
190,10207,-505.4677641234917,-232.5275003820814,78,42.269500732421875
200,10742,-503.74232358330954,-296.73433037769615,43,38.683685302734375
