episode,steps,reward,discounted_reward,steps,distance_traveled
0,54,-511.19525175423166,-205.95775766870187,54,286.4139404296875
10,659,-503.1709254843754,-189.1078826899395,83,369.88140869140625
20,1269,-505.2731462837849,-214.09384057346705,60,-139.5870018005371
30,1741,-584.2962593655745,-292.2144113156654,46,-126.78926467895508
40,2178,-578.1718234015246,-380.58673566400836,30,-50.794185638427734
50,2611,-507.56918178915157,-297.1878658806223,44,-28.3516845703125
60,3012,-536.2802269398542,-296.5953750126968,42,229.00241088867188
70,3539,-501.10663069969684,-297.80581015491634,46,5.275245666503906
80,3983,-509.4873628370811,-282.720138593674,52,125.56617736816406
90,4635,-530.5924911012634,-279.2956414835234,46,161.96176147460938
100,5137,-577.3752171016238,-331.9772108081221,32,363.3525695800781
110,5659,-508.97390018431514,-216.28822937240508,58,457.72021484375
120,6148,-503.817176212245,-164.67463752698407,97,295.5091247558594
130,6767,-530.0603497868424,-317.2256349275795,48,-161.55879592895508
140,7358,-502.5542272488618,-275.2461838819775,51,369.3712463378906
150,7952,-504.03955297216135,-167.34619052234976,87,248.68511962890625
160,8392,-507.98040166269254,-276.1840000537652,37,105.21919250488281
170,8998,-562.8735858789789,-183.67368513354825,72,404.4160461425781
180,9377,-599.9484571432636,-301.51087643728687,47,287.13970947265625
190,9747,-505.7130956547184,-343.9642160985908,37,-386.2159729003906
200,10255,-513.0895257487205,-286.04061015065645,31,220.26324462890625
210,10773,-509.45635196249947,-310.76864233794737,42,-9.467636108398438
