episode,steps,reward,discounted_reward,steps,distance_traveled
0,76,-502.2575261529906,-284.70141573441657,76,-15.632774353027344
10,524,-538.853669777353,-313.9739488140125,33,159.77374267578125
20,1112,-509.1607629899276,-125.18089621133451,80,890.9837646484375
30,1760,-502.5800138901316,-228.20234382233394,68,92.65907287597656
40,2371,-508.0285292123053,-227.1549966687887,55,417.88739013671875
50,3025,-553.1373698258226,-374.9205912758847,25,42.89540100097656
60,3495,-509.6300889638376,-318.61032910532185,46,-30.729331970214844
70,4101,-509.754981898345,-187.62016493460695,80,146.497314453125
80,4553,-549.7571819097344,-400.73843617473386,22,16.585372924804688
90,5059,-527.9109702565798,-268.2762588737064,42,169.93499755859375
100,5618,-510.15013842241666,-215.9543079357448,58,75.0157470703125
110,6243,-502.62440636768986,-159.0137624161115,83,272.2447509765625
120,6823,-547.6533692680509,-174.27029023297177,84,422.0823974609375
130,7372,-508.9443019669697,-295.21903281404025,45,94.90303039550781
140,8008,-510.18799427988074,-209.16752593274742,77,136.8652801513672
150,8754,-511.9958853972399,-118.11908806050023,117,399.2584533691406
160,9392,-500.5833314899299,-144.70605035320443,92,84.03205871582031
170,10049,-512.0150623914241,-225.48438191112038,65,99.6219482421875
180,10570,-568.2456488971906,-407.37477473691683,22,23.837997436523438
190,11087,-537.175728533819,-233.18144111107495,60,153.98342895507812
200,11612,-502.2016042404332,-284.2472519161041,50,429.81378173828125
210,12378,-512.633985922088,-270.17634238121883,73,707.953369140625
220,13158,-556.5124626418274,-338.5710243539108,31,138.47830200195312
230,13669,-501.2275662260549,-108.4869373111339,102,766.1806640625
240,14240,-510.08376830895713,-245.12614930645802,59,93.92274475097656
250,14791,-557.7608289551931,-412.6297187537188,21,16.795387268066406
260,15370,-544.016700922851,-238.34829451345246,55,188.094482421875
270,15954,-505.37521374137947,-283.25407733191076,49,-60.288124084472656
280,16630,-507.0817931593197,-179.39474655831478,93,682.732177734375
290,17110,-520.982285540423,-296.9923173122333,38,434.96990966796875
300,17642,-529.5453902201169,-185.60236200025096,55,703.8721313476562
310,18066,-504.8974563223058,-283.17965835865147,47,98.36322021484375
320,18699,-500.7419238023108,-311.43595208675356,52,-27.609283447265625
330,19370,-563.7673082237723,-414.70443154323334,21,79.02839660644531
340,20169,-549.9562359348131,-224.18435183301668,70,765.2035522460938
350,20691,-550.4713367318408,-245.55485334030757,73,488.51348876953125
360,21241,-504.11638630938506,-175.775598920005,73,572.84814453125
370,21866,-520.5779306395916,-249.13324316221244,49,183.595703125
380,22371,-525.7106104781049,-227.8481448153192,50,407.62249755859375
390,23020,-542.3286091093454,-362.09453617986145,27,-18.107666015625
400,23451,-501.41962404146267,-203.85651348415706,68,387.4307861328125
410,24034,-503.19180074549746,-320.62861092030784,41,-283.7345733642578
420,24621,-511.49678855652803,-349.57296596400704,28,240.06219482421875
430,25109,-512.0832027510105,-193.90792128530282,69,-105.40405035018921
440,25613,-562.784534988521,-233.26917869428522,55,418.2838134765625
450,26401,-507.076176373177,-207.13527907992508,68,-127.84562873840332
460,27021,-515.2757913023705,-278.44193369684393,39,258.2678527832031
470,27534,-509.7096744934259,-252.4292246667576,61,-0.7964248657226562
480,28029,-505.1719271286322,-293.6883314554122,59,-193.6161651611328
490,28497,-536.6088193094489,-392.9157145586006,21,-12.628532409667969
500,29107,-500.0867349024904,-235.2287985362594,64,199.74594116210938
510,29646,-500.99993929148,-255.95701043531722,60,47.09822082519531
520,30288,-541.8596353938885,-323.68470450447404,33,-121.29390907287598
530,30997,-501.29122486810746,-242.57772216186922,84,271.5090637207031
540,31539,-524.8885118337196,-339.6584930920819,28,185.509033203125
550,32007,-501.9955380068732,-186.30277649933763,81,441.23480224609375
560,32572,-502.468742731258,-305.74223204365035,45,-23.96929168701172
570,33145,-511.2586598444707,-186.40392865036182,79,242.2274169921875
580,33653,-540.9164669593326,-291.02155187685827,56,-0.28815460205078125
590,34179,-531.6275538330576,-197.35554128668113,57,471.39385986328125
600,34780,-503.9199417853828,-231.08062744940628,60,223.13406372070312
610,35387,-508.30221546028696,-335.45598341290594,27,294.4621887207031
620,35988,-505.1844478861918,-154.5996335049345,100,352.00177001953125
630,36564,-508.7011000888506,-304.5095748480599,45,-322.56578063964844
640,37209,-509.44923626325806,-303.76967788412213,44,-40.517642974853516
650,37748,-539.4491015269106,-272.14613006457313,51,6.977996826171875
660,38354,-501.0335444486309,-176.69881425320122,81,183.87203979492188
670,38890,-512.092691463814,-233.40643553953987,55,435.27166748046875
680,39385,-551.6408178443693,-370.6660424300178,26,83.72467041015625
690,39956,-512.0120852637023,-167.90996754996476,77,-63.73398208618164
700,40386,-510.98347949457985,-357.62069652707083,25,-68.27068519592285
710,40921,-506.17635677916587,-266.76845769495753,56,-106.29768180847168
720,41519,-501.62799520791447,-240.2697166184577,63,49.841278076171875
730,42016,-500.3860372295464,-145.78076608071115,105,258.804931640625
740,42484,-528.8933536414108,-326.30748721237734,30,418.44110107421875
750,43154,-549.0152327173508,-348.3235626821496,29,110.15272521972656
760,43617,-555.4433258439121,-364.01598227976393,26,54.49220275878906
770,44155,-500.87068460376753,-224.82433226475507,54,-25.964920043945312
780,44731,-501.8774012660199,-246.1392740276966,65,111.04594421386719
790,45313,-503.9231477051998,-230.45856215296752,70,103.60818481445312
800,45878,-523.4934960800836,-288.6613142815812,36,74.44039916992188
810,46387,-511.7387945256833,-277.3953765025674,38,316.4029541015625
820,47021,-516.938727406174,-141.08823538699292,100,98.93852233886719
830,47649,-501.6449482176447,-230.5656061693575,79,410.00927734375
840,48155,-541.1510428936431,-178.13080653464831,74,257.9504699707031
850,48813,-505.40886083974976,-212.5175334258759,69,24.41729736328125
860,49635,-511.66580959516205,-304.2924173950951,32,344.88616943359375
870,50132,-539.9202822987636,-278.14568155248367,40,209.30032348632812
880,50586,-507.2312539153129,-166.30034988008208,81,-110.51055335998535
890,51167,-506.9525754054819,-272.34994271501654,51,157.35760498046875
900,51737,-537.4649600475128,-277.88162844916866,40,325.2384033203125
910,52274,-554.9493199277173,-200.62355866169304,52,277.2282409667969
920,52964,-500.59651365411014,-158.57698914436452,117,1040.52490234375
930,53586,-509.3513113825092,-235.79405148621416,69,234.57369995117188
940,54079,-514.7957801479963,-273.6627048697904,50,162.16326904296875
950,54589,-501.1303572818432,-253.90895303442366,54,256.1714782714844
960,55326,-502.2461836506797,-254.29809789043074,84,206.68515014648438
970,55826,-561.8854086979488,-217.39564009181197,57,227.57498168945312
980,56286,-500.08837029203335,-224.2022502308924,66,73.24406433105469
990,56936,-512.8342016760578,-261.1366380254858,58,28.58319091796875
1000,57500,-506.50144803384563,-112.5018418131175,105,530.4022827148438
1010,57952,-516.4803084055425,-311.8643259239612,33,17.498580932617188
1020,58447,-548.7047270729865,-215.52604448716366,54,374.54266357421875
1030,59017,-544.4502398333805,-260.1831229472438,40,111.50428771972656
