episode,steps,reward,discounted_reward,steps,distance_traveled
0,34,-520.3809138361628,-315.09489360941876,34,26.709312438964844
10,603,-503.0579609481518,-276.06412318350255,53,39.88304138183594
20,1298,-511.70916255875306,-112.6201799162243,107,429.76654052734375
30,1897,-526.9416575493575,-262.37995518539776,49,-57.77430725097656
40,2332,-506.5405438542395,-269.5934690520368,52,35.609130859375
50,2791,-500.27885704554296,-264.01196009174856,58,51.83091735839844
60,3353,-518.9883531832484,-326.6227367681854,29,281.9106140136719
70,3842,-514.3286534650842,-91.29605148713291,126,728.1573486328125
80,4436,-538.3091918586867,-246.61882307409738,64,120.26675415039062
90,4889,-528.8444583538795,-291.770088302651,37,88.99066162109375
100,5330,-500.71336554164,-198.21762834433548,61,565.8605346679688
110,5907,-513.5848168107672,-368.9997301705171,22,-105.51544380187988
120,6362,-501.6289396115841,-373.9403950311942,20,137.39016723632812
130,7000,-519.7194670208403,-206.01395253503665,67,620.1666870117188
140,7505,-527.1475842290299,-256.2056557102482,57,249.74368286132812
150,8067,-503.53516855512066,-279.7626170550001,49,31.816299438476562
160,8676,-503.45144049101117,-252.2359972886534,61,5.152862548828125
170,9250,-503.7728673012305,-238.12913274754365,74,126.908935546875
180,9865,-535.4469146029825,-297.0348937015418,48,-40.41490936279297
190,10383,-530.8547638083838,-193.22604740952525,65,165.40090942382812
200,10902,-500.4382285858729,-158.81036199699622,121,874.7332763671875
210,11407,-513.6235819623348,-241.37854364124715,52,365.4058837890625
220,12145,-502.1363322196516,-127.33426616780486,127,1090.9754638671875
230,12727,-501.2519545157932,-297.40592982689475,51,-249.4467315673828
240,13283,-528.8641104718004,-206.95930868192667,65,498.361083984375
250,13806,-531.5847614780092,-334.7985719684392,29,163.82986450195312
260,14346,-505.4901924339388,-187.99026675649432,92,255.638916015625
270,14989,-501.44498242263484,-270.85742490351765,45,-125.78591346740723
280,15482,-506.3481230587374,-195.09696670672204,61,-62.87385940551758
290,16159,-507.8015665104022,-209.46255109080053,75,-153.09075546264648
300,16583,-521.9300127872647,-213.4515599268226,61,726.862548828125
310,17104,-519.4248092071507,-387.33775861850063,20,51.98481750488281
320,17782,-515.0723891657115,-249.29139079887054,62,141.29515075683594
330,18337,-541.8596693971572,-288.59897971492006,40,485.98040771484375
340,18869,-507.21145458737,-338.77448150135876,25,79.69729614257812
350,19475,-554.5197086051404,-314.40638879430634,33,100.33917236328125
360,20013,-501.7771873279297,-217.50888317852153,66,252.68505859375
370,20594,-501.1013094365373,-222.25402741780564,71,-4.9933013916015625
380,21151,-501.6310339971054,-194.33832721522,82,313.29827880859375
390,21675,-500.51139852098066,-196.72561967755124,99,450.43646240234375
400,22288,-513.8534763513704,-181.0957486020649,78,181.28659057617188
410,22866,-512.1197275379773,-326.3634428887259,43,-148.84225845336914
420,23338,-507.980760743961,-261.4185366642816,53,-88.29531860351562
430,23919,-547.0150448657046,-364.8262198799401,26,2.9938583374023438
