episode,steps,reward,discounted_reward,steps,distance_traveled
0,89,-503.7199959510566,-185.7905599948699,89,491.78570556640625
10,682,-516.0886701107025,-324.0252676803263,39,-186.35079193115234
20,1408,-508.5671489576997,-228.81493440672492,68,401.2966003417969
30,2015,-500.4247720320523,-223.36291298977017,71,94.80747985839844
40,2725,-511.2320857066475,-278.6423466501574,52,57.01275634765625
50,3419,-518.829685509205,-268.4707426890134,49,-50.337257385253906
60,4011,-509.0727637891844,-287.3327786995853,50,-178.81568145751953
70,4671,-501.70979588091376,-258.3844303108263,57,249.865234375
80,5286,-506.4040148128569,-256.57171590005623,67,463.6832275390625
90,6005,-516.0936515682938,-131.66795376762863,99,270.2781066894531
100,6681,-501.01056840208355,-222.85404729337364,62,114.98178100585938
110,7351,-503.5180134385824,-215.66617804420105,76,135.55796813964844
120,7969,-507.61701778613025,-243.81116465028123,61,-85.70945358276367
130,8557,-500.0539889517428,-278.40102120294137,57,-32.61408233642578
140,9232,-503.9778486686946,-244.96104468200548,59,604.8360595703125
150,9919,-507.3890534043312,-244.380512632511,61,266.66168212890625
160,10660,-503.9886468385719,-148.6836833497609,104,969.9434814453125
170,11371,-501.37192003011734,-174.7675295668755,89,321.00213623046875
180,11982,-515.3296611389518,-258.41832598602326,56,106.48191833496094
190,12723,-511.3547900024056,-193.70714738207747,78,203.2271728515625
200,13383,-513.3951096908004,-221.89893707086438,73,-43.12638473510742
210,13915,-511.7860787712782,-251.5093768513185,62,-72.24555206298828
220,14529,-513.0079264387116,-228.16119811499618,65,243.37655639648438
230,15121,-508.8570466542244,-307.5144280302012,45,113.91743469238281
240,15703,-505.7579285633565,-298.70904440928047,48,-14.513473510742188
250,16332,-510.5585351543127,-237.51211127038195,65,109.47225952148438
260,16984,-509.73706797003734,-289.37153866801515,46,36.725311279296875
270,17643,-511.63211159449895,-111.99097220529302,108,470.129638671875
280,18216,-516.8534131133557,-273.1568177073041,51,120.27517700195312
290,18825,-506.9741727021336,-291.2887968680798,51,324.2826232910156
300,19568,-502.82672073721886,-261.48706011377317,70,180.68374633789062
310,20249,-502.92460272431373,-314.39716394867065,42,-154.48013305664062
320,20924,-505.3326652163268,-195.274546764069,81,265.39190673828125
330,21560,-501.6037474489213,-214.72157993930932,83,561.90087890625
340,22180,-505.2112702184917,-284.5546530729649,45,-84.02242183685303
350,22876,-502.6686194890738,-207.23082543986774,81,206.78533935546875
360,23524,-500.492276775241,-248.56607091777815,51,146.55856323242188
370,24138,-502.74827797889714,-282.2111625115076,54,67.99179077148438
380,24798,-503.7138572323323,-216.63213247580765,95,306.4669494628906
390,25486,-502.4456742548943,-268.5220714853998,62,218.622802734375
400,26123,-505.58262185335155,-259.07538137475154,58,-48.631805419921875
410,26691,-505.8126764759423,-298.757571991353,47,342.4088134765625
420,27282,-500.3619225126505,-241.6550883897537,58,246.8214111328125
430,27969,-517.9198352903129,-122.67796374205946,86,487.721923828125
440,28667,-504.0902688133717,-194.36636766897496,98,439.20184326171875
450,29363,-504.0524351331313,-247.01625436641015,76,453.326416015625
460,29982,-502.05164255857466,-323.88066121603714,36,-216.3297576904297
470,30730,-502.2210993962735,-166.33842599823512,98,620.4500732421875
480,31419,-513.28676415205,-241.65183515210325,59,142.03765869140625
490,32021,-503.05567870996896,-268.8111563819783,52,547.5126953125
500,32713,-515.2887215161323,-242.12622911547547,67,164.3182373046875
510,33415,-501.4192695122958,-249.24753206487662,62,422.8818359375
520,34049,-504.0136977142095,-312.09244751020094,40,-120.79400825500488
530,34747,-502.92270035654326,-233.50976479146934,73,174.29022216796875
540,35372,-506.3237084525825,-267.54966992066164,53,51.008514404296875
550,36021,-511.5781326074898,-245.11784029295782,61,144.781005859375
560,36665,-507.1413872256876,-258.78578636834595,73,894.1560668945312
570,37329,-508.90539833530784,-251.24980423009995,63,311.99810791015625
580,38000,-500.9369500082733,-223.58286729698568,73,265.1949768066406
590,38694,-500.76209076792003,-247.9123457369088,95,235.68502807617188
600,39321,-514.7331998959185,-293.3159511704023,48,-61.07720947265625
610,40000,-508.7055380983651,-225.66175365443263,72,658.115966796875
620,40647,-507.4181375484914,-269.24118377432904,55,-5.9014129638671875
630,41329,-504.9267365527154,-239.72762488855471,64,137.1641082763672
640,42018,-505.60755851432685,-179.03878082638053,92,130.0419158935547
650,42653,-510.4018128739298,-293.7605715063713,54,-285.2549591064453
660,43311,-504.5675511240959,-303.59517566733325,48,-181.59500885009766
670,44020,-502.54998249709615,-228.45995592611382,70,317.1729736328125
680,44766,-510.7773117864877,-242.27633690146192,71,59.50897216796875
690,45407,-508.52541238367564,-292.9382065750563,52,170.58987426757812
700,46043,-514.1582561187447,-312.67623508446223,49,-99.01515793800354
710,46777,-506.3548847773671,-258.4409192244477,68,126.34883117675781
720,47411,-513.5037544620037,-273.98399657008923,50,27.964431762695312
730,48017,-512.7321214309335,-299.8567024110634,42,-28.280479431152344
740,48608,-502.86607872873554,-309.10408973824593,40,-216.28363800048828
750,49297,-510.5402528366445,-303.316798359557,48,-191.36695098876953
760,49845,-505.2024561366437,-224.57926173969838,92,483.7445068359375
770,50450,-502.38267360940574,-276.32255016930253,46,-168.50434112548828
780,51220,-516.8109116742014,-158.47407201864212,100,422.92608642578125
790,51800,-504.1664499795436,-291.3530443962155,51,312.2571716308594
800,52485,-509.11480812512326,-282.18990270667393,48,115.33694458007812
810,53305,-507.68766852140436,-211.01518036588897,78,633.3028564453125
820,53940,-506.8433657085894,-212.63964442622657,71,95.12892150878906
830,54681,-506.2979761743547,-186.96362780736015,78,152.0975341796875
840,55328,-507.12220886170866,-298.7913525768454,52,-45.9637336730957
850,56001,-504.9461826711895,-256.4609936440001,75,137.08724975585938
860,56605,-504.15558434605595,-245.59916388856962,67,647.2673950195312
870,57313,-504.8732492691277,-179.98043951152334,77,640.4900512695312
880,57959,-502.3661444699765,-256.89069695274475,61,-65.63465118408203
890,58657,-509.48864467680465,-241.08938267005658,68,124.60662841796875
900,59379,-516.6594136154652,-296.26331236211047,44,157.86654663085938
910,59977,-510.2259978265316,-291.3981792294822,49,-124.72319412231445
920,60622,-512.8753962332385,-216.5622539523884,82,200.68264770507812
930,61312,-506.60999753534793,-256.15446871192876,56,376.916748046875
940,61944,-509.2488839101791,-286.67795027759934,52,495.77752685546875
950,62778,-507.2002749840916,-307.7300401849085,48,-148.03434371948242
960,63495,-503.58597796451653,-254.67906701579707,58,66.97654724121094
970,64215,-510.2368611586095,-298.2349894761274,50,-14.73956298828125
980,64872,-513.6494352910668,-178.66757134166897,75,76.06161499023438
990,65428,-500.43793753102426,-319.53512807231806,44,-7.9429931640625
1000,66086,-500.51475215673446,-241.36445246725899,66,488.626953125
1010,66731,-504.6737742872537,-198.3951775327702,90,332.59600830078125
1020,67423,-502.01713087320337,-292.1225425200213,51,-87.71126651763916
1030,68186,-504.25810780048386,-204.78840713585603,75,287.00872802734375
1040,68919,-509.4968459367752,-286.6997896329371,56,559.8607177734375
1050,69501,-505.177028260231,-251.40991749821364,67,480.5689697265625
1060,70056,-515.6405697572233,-273.4668281584206,53,486.7288818359375
1070,70678,-514.689801864028,-236.19118329056064,59,285.10601806640625
1080,71447,-517.0315613256395,-321.2365981648794,41,-168.94001007080078
1090,72022,-502.5259574996773,-254.14220377656656,68,149.58306884765625
1100,72677,-512.0441866087914,-296.1464381892173,47,-371.3549499511719
1110,73396,-501.5587421134116,-193.70219047670565,86,226.6988525390625
1120,74017,-502.8807461208106,-252.83539575641683,60,461.4742431640625
1130,74670,-514.4250779358671,-259.0031449037816,54,39.399810791015625
1140,75295,-500.998369884193,-271.7692193187832,49,110.76992797851562
1150,75949,-509.76955846965285,-267.34067560051017,75,311.528564453125
1160,76543,-504.68029650181546,-206.97902608736337,88,268.72882080078125
