episode,reward,discounted_reward,steps,distance_traveled
0,-465.3880638549411,-263.5125323487182,85,469.2848
1,-462.2770885034485,-351.2827101213504,56,13.471962
2,-452.84964366744254,-295.531202421309,75,188.49176
3,-453.97262038915864,-373.6616545412624,61,131.13614
4,-461.66161252768694,-308.0286756309166,58,37.931168
5,-456.50166413765874,-289.924677048131,101,340.9209
6,-452.5476993069977,-293.8384617058502,101,589.32574
7,-459.9412617677744,-343.5674294780724,55,-118.26169
8,-453.5502281518157,-300.0930253549515,67,114.45906
9,-451.21807955924095,-290.2245303038365,85,426.75702
10,-452.18521948976036,-322.7341711549573,61,-149.48843
11,-455.0584027134714,-342.5845582297747,64,119.64374
12,-457.87736998881775,-301.7897139321224,72,-54.1433
13,-451.8917437120448,-329.72082261602657,58,-120.10625
14,-451.3980624891553,-337.9562669998348,59,26.17575
15,-456.1204878100283,-300.05134621672227,67,67.56146
16,-453.41913020745136,-337.1919524296357,65,92.85205
17,-451.90488443484065,-349.96190479037995,57,25.247765
18,-459.5316074299683,-300.7068619225474,64,87.74864
19,-450.18471326465647,-266.7113888530714,100,262.46826
20,-457.73608289981894,-339.6291834462221,51,-147.76973
21,-459.04242879964374,-317.83691317428867,63,114.70331
22,-461.72286827189754,-350.1698481584589,64,159.0668
23,-453.13805684109116,-317.36302051135704,75,36.972916
24,-457.55069664797054,-303.8186063137486,64,56.965286
25,-455.2281870454374,-287.43869332760266,95,494.14453
26,-452.4593529110907,-349.5662922597979,55,32.17169
27,-457.7363131911841,-338.9543749106629,51,-78.42825
28,-452.21860874891166,-359.3247063776279,48,-40.053234
29,-455.65610384970654,-323.6726776648335,61,64.85779
30,-464.46988626361207,-318.2996153865583,68,15.090294
31,-459.69406645510526,-344.16241786276964,51,-136.1673
32,-455.77957825353093,-309.4220676073984,70,96.38965
33,-451.8499736248819,-314.94975944636684,67,49.20146
34,-458.1771230032233,-266.1700076642598,80,157.21228
35,-452.5818061427774,-323.6342786769246,68,-85.58685
36,-457.04148086328115,-267.8575647688917,91,208.90512
37,-453.7132493978356,-265.75133755421587,86,552.1649
38,-451.6791325722592,-356.14788675735616,43,-29.507164
39,-450.9064053735257,-284.0523219231418,92,400.29318
40,-458.15696343531016,-327.98834685119374,69,74.044525
41,-453.43399444607655,-329.7292010349687,78,96.49327
42,-457.1443594769483,-330.05570830273734,58,274.3049
43,-459.82712508315933,-321.6292732093229,58,13.601349
44,-452.3768374624592,-303.93410469097,128,520.07544
45,-450.77859408438906,-280.90008496565315,102,693.21436
46,-456.1563642602097,-214.6246228076287,110,828.96783
47,-462.5608264514624,-324.8360452153604,55,-21.559837
48,-453.6903948414075,-330.3677583108764,55,9.342537
49,-458.3192380717473,-325.42228690914095,64,160.43927
50,-454.7306363497431,-310.7681992144777,69,148.09402
51,-461.62893872817716,-303.0916172015852,66,142.7884
52,-455.8405788677625,-351.4816756784696,51,-4.5269165
53,-450.11603196583604,-296.52855304457233,69,124.821335
54,-455.63068147301885,-256.45554526439287,101,303.79922
55,-458.85187743330243,-270.9807048659251,77,167.32272
56,-454.6496131967542,-338.49904142143833,62,-30.899658
57,-453.40794083086814,-321.9262788616941,63,108.39693
58,-450.0332770166183,-280.93209577592364,76,279.1322
59,-460.08099951595705,-340.84708556024896,53,-91.21345
60,-464.22260215837207,-344.98709928172724,60,-93.13545
61,-451.81604302627363,-291.90342158938887,92,214.33783
62,-463.24453901857066,-267.04295783209716,108,421.3225
63,-459.6085332702716,-361.95585827191667,43,-13.6202545
64,-450.21360230739793,-278.6983826301657,89,986.38074
65,-460.0083888422015,-323.3587783465229,72,93.390274
66,-454.3600744244467,-307.8632764066603,83,119.885284
67,-453.57274299267067,-297.4242808107274,73,-4.9958572
68,-459.5037581322048,-290.31782909501237,79,138.85204
69,-456.5682589426641,-333.11358915062743,54,48.753464
70,-454.0397946029382,-342.8598940448382,65,27.472374
71,-452.6003868385101,-277.03058222428893,82,10.761147
72,-452.2950679780012,-355.3094495028653,51,-118.598366
73,-455.13608235930053,-302.3174927886599,65,62.64801
74,-453.6808657969791,-280.8882228770223,81,516.0201
75,-452.98532091132324,-294.3062630043454,91,201.4133
76,-452.74772671927406,-288.9973640766834,101,565.7856
77,-450.27340082326305,-306.470788828488,66,143.26678
78,-450.4143952072902,-340.4033092766716,64,-82.75076
79,-453.253684293858,-303.39803846235714,80,289.35556
80,-455.8071944123181,-372.64495671385214,38,-59.478428
81,-454.3128677331604,-295.51825727075493,69,480.94727
82,-456.3299836833104,-356.1958652295584,52,-72.975815
83,-454.90362993238693,-321.7719498855996,61,97.15987
84,-456.47387346032355,-338.4699811235572,60,17.49804
