episode,steps,reward,discounted_reward,steps,distance_traveled
0,26,-597.3307699006247,-387.3565770756582,26,100.79736328125
10,536,-567.0360910361339,-349.0502110970866,29,247.73760986328125
20,1162,-508.54180922298553,-296.7609480411337,45,-276.3166046142578
30,1762,-500.42520453376795,-107.30069623996164,115,568.3480834960938
40,2214,-570.7649803076978,-274.3712831032584,42,474.70050048828125
50,2705,-565.0126531923717,-366.0870904141313,28,25.917327880859375
60,3197,-506.6657236231299,-279.8630204882976,55,105.37696838378906
70,3669,-511.1200475703054,-320.98162750108924,27,70.80879211425781
80,4152,-513.0375379677538,-266.5020463908617,65,132.4139404296875
90,4635,-507.03785768077944,-364.99794692180126,20,54.6778564453125
100,5100,-542.3994613700457,-423.84266454514227,16,41.38932800292969
110,5565,-507.293814099109,-329.31669377806634,35,52.62135314941406
120,6010,-500.85919525239484,-275.92709256807944,50,18.645919799804688
130,6553,-507.7901748388725,-264.88455609024066,56,-25.03075408935547
140,7074,-510.41864017135896,-238.08991465360182,53,-30.715736389160156
150,7607,-509.0565360272443,-289.21233444473205,48,56.90789794921875
160,8068,-513.3461176217991,-327.5503029005722,37,20.264755249023438
170,8492,-506.39953601171527,-230.99496218684044,67,290.4837341308594
180,8946,-571.022624003835,-277.53991472900225,77,731.1110229492188
190,9400,-583.0123699241312,-443.822918519095,18,76.93597412109375
0,80,-500.0239386868362,-208.6040628039791,80,701.1171264648438
10,499,-567.2077561686199,-361.21944346431314,28,188.23538208007812
20,1002,-534.7944619262365,-321.36350646501586,31,122.06082153320312
30,1450,-568.7904842169414,-325.68169490516846,39,-65.79741668701172
40,1947,-518.026792603292,-318.7245573843819,41,-13.689140319824219
50,2351,-505.5212974216355,-310.8756450371872,44,-23.202362060546875
60,2778,-511.6085342174451,-228.60649991830542,66,446.10986328125
70,3241,-590.8150912819468,-390.6266408640906,26,225.54525756835938
80,3691,-501.99544075301435,-294.00541528620397,47,-155.5417594909668
90,4096,-504.9760081352262,-292.6914334868586,44,100.28500366210938
100,4537,-602.6990208221246,-481.55068189717485,15,-6.976936340332031
110,4870,-505.00697762565113,-292.0797112796903,53,54.08576965332031
120,5252,-536.6511230149357,-369.782078211404,23,172.16378784179688
130,5697,-599.1089921255204,-352.1453007447986,32,306.24334716796875
140,6203,-570.2564818566912,-374.70177990923094,26,181.34356689453125
150,6707,-502.35056127071033,-200.8475392866725,77,313.6544189453125
160,7123,-507.01327168703415,-385.75429201980535,18,-43.94940948486328
170,7637,-506.36282966064243,-254.62425951315308,64,746.50439453125
180,8130,-511.736329639583,-301.54914693516423,47,94.2547607421875
190,8515,-557.9808111661864,-269.68976457211204,45,124.65322875976562
200,9018,-526.9270597282006,-315.816718318593,32,185.575439453125
210,9450,-511.6338629551406,-297.34874128244894,44,51.81671142578125
220,9905,-510.7528917976143,-286.1976930252107,45,281.1105651855469
230,10347,-570.9307154825563,-366.7017287037001,29,128.73135375976562
240,10829,-506.4647656306109,-297.11220684422574,49,5.207542419433594
250,11285,-519.6432650067329,-276.8905624804677,57,194.68594360351562
260,11876,-562.5057329926129,-275.3158874814082,45,490.7940673828125
270,12467,-565.6611227989792,-386.4227160413086,24,112.76649475097656
