episode,reward,steps,distance_traveled,steps_in_target_lane,avg_speed_diff,speed_deviation_ratio,fail_mode
50,374.18765473484973,86,825.727,86,1.0284605,0.0,1
51,329.93120299190286,86,848.38727,80,0.61914194,0.0,1
52,529.6337034460902,200,1983.248,130,0.55988675,0.0,0
53,276.3484137383104,200,1932.6683,78,0.3535321,0.0,0
54,122.16693391203881,28,276.27844,28,1.1141435,0.0,1
55,64.81182000756266,39,388.18167,0,0.6039865,0.0,1
56,42.448550245761865,29,285.63663,0,0.96893483,0.0,1
57,346.2017190060019,200,1984.1675,73,0.45100456,0.0,0
58,139.08454705536366,31,305.06238,31,0.9916458,0.0,1
59,329.8846182441712,98,973.676,77,0.40057358,0.0,1
60,228.4450184640288,123,1218.6962,39,0.4604615,0.0,1
61,288.4975329792499,121,1201.4541,65,0.31739536,0.0,1
62,302.325068691075,99,947.72473,86,0.45668605,0.0,1
63,10.395354413688196,159,1527.0737,0,0.45016864,0.0,1
64,331.76367177724836,81,804.9509,81,0.44250855,0.0,1
65,61.11130046755078,115,1107.1815,9,0.40910962,0.0,1
66,262.8643306779862,62,613.20374,62,0.67009586,0.0,1
67,321.5633074653148,141,1407.8973,65,0.2602817,0.0,1
68,197.5234366661311,74,702.8456,59,0.6980168,0.0,1
69,72.06705763816834,53,522.09283,0,0.8470061,0.0,1
70,415.0372026449443,200,1986.9756,99,0.40042907,0.0,0
71,75.82577720463277,65,639.20776,0,0.93125397,0.0,1
72,207.15272161126148,49,485.00763,49,0.6868041,0.0,1
73,49.05265098094939,43,422.76233,0,0.8955351,0.0,1
74,312.1955479854345,200,1979.2832,58,0.54175967,0.0,0
75,92.12947766184807,56,550.81824,14,0.8196687,0.0,1
76,-9.252222193777548,77,725.3159,0,0.65514034,0.0,1
77,312.1171562102436,140,1395.2955,77,0.25426102,0.0,1
78,238.6396171057225,57,562.6341,57,0.86238253,0.0,1
79,86.92719338893895,127,1232.1464,12,0.41658923,0.0,1
80,84.30032660394906,69,669.42004,0,0.5809276,0.0,1
81,362.74953174948695,200,1987.175,80,0.3839753,0.0,0
82,292.1441435658932,69,684.70795,69,0.6162675,0.0,1
83,216.8620658323169,53,523.4065,53,0.76036626,0.0,1
84,18.202316735982947,106,1017.5409,0,0.4307933,0.0,1
85,613.5765885365012,200,1985.5154,162,0.553961,0.0,0
86,359.5224310833215,78,768.0186,78,0.8080565,0.0,1
87,323.8933063575624,104,1032.9409,77,0.33057168,0.0,1
88,274.8584626615047,71,678.885,71,0.7056731,0.0,1
89,300.2418620461226,142,1412.7206,71,0.22492078,0.0,1
90,196.84086341857912,46,451.596,46,0.8525164,0.0,1
91,145.98084088623523,133,1276.4376,64,0.4713681,0.0,1
92,60.62446746468545,50,492.3802,0,0.7585881,0.0,1
93,252.5802148216963,108,1076.3086,49,0.2548735,0.0,1
94,74.87953609168528,63,614.6365,0,0.98902595,0.0,1
95,62.035811790227896,48,474.45123,0,0.70517725,0.0,1
96,306.8394607949257,88,836.26746,86,0.61637473,0.0,1
97,421.79087134420865,111,1097.2894,107,0.6422887,0.0,1
98,52.923114422261726,36,353.6643,0,1.0020243,0.0,1
99,51.320550231933574,52,513.61224,0,0.6474126,0.0,1
100,146.63728149294855,37,360.87207,37,1.0209115,0.0,1
101,220.56351431459186,56,552.4947,56,0.716891,0.0,1
102,480.5521873953941,200,1928.8354,126,0.5762017,0.0,0
103,390.7238884246349,200,1983.9163,86,0.46196443,0.0,0
104,509.4068488401174,113,1109.4989,113,0.9083215,0.0,1
105,160.70982464194296,86,852.8035,19,0.43658686,0.0,1
106,33.000754478573796,10,100.44098,10,1.0117886,0.0,1
107,385.150109624863,112,1106.4897,89,0.77695477,0.0,1
108,310.4082758435607,71,706.87054,71,0.4509186,0.0,1
109,233.5269573196768,57,560.9368,57,0.80291736,0.0,1
110,278.6520060443878,66,655.53644,66,0.48335007,0.0,1
111,134.56158268481494,83,826.91486,18,0.50237477,0.0,1
112,312.8109376174213,93,887.6688,86,0.52072537,0.0,1
113,227.93379373848447,54,536.7081,54,0.46281257,0.0,1
114,95.21165804862974,62,615.67535,0,0.44709355,0.0,1
