episode,reward,discounted_reward,steps,distance_traveled
0,-303.3628710229468,-199.2097167070976,84,420.96906
1,-308.92206,-167.62201,93,250.19391
2,-303.92566,-232.0164,49,66.746445
3,-301.68292,-152.23561,112,276.7762
4,-304.27997,-185.73024,67,92.78749
5,-306.5736,-225.04735,43,48.35074
6,-301.35324,-234.6605,40,-8.4347
7,-312.80908,-220.9254,50,140.47334
8,-302.35223,-234.39574,42,-16.028069
9,-303.4626774698264,-170.17436390667916,77,276.5686
10,-301.3362,-212.73782,61,76.70784
11,-307.6157,-169.35771,98,78.23183
12,-304.59164,-197.41861,93,469.6548
13,-308.95535,-160.45305,114,266.27344
14,-307.50732,-158.68277,90,217.6828
15,-303.0792,-169.99858,99,726.4015
16,-312.66974,-260.2533,33,-89.03421
17,-306.32214,-243.68573,35,-37.01547
18,-303.14447,-207.66846,56,-28.379349
19,-302.34141913763324,-193.42728337854427,82,256.70795
20,-307.25275,-197.09692,87,353.77258
21,-304.8351,-257.59512,29,-116.82944
22,-311.55063,-196.56459,68,111.29637
23,-301.4193,-242.18193,38,11.974472
24,-304.8524,-233.9872,41,-62.084873
25,-310.11337,-221.891,52,-52.796906
26,-303.1033638308738,-155.18593252941045,137,1151.4633
27,-303.59177,-158.86304,99,174.98816
28,-300.01224,-204.10837,73,48.37195
29,-309.94876,-218.43906,58,120.62697
30,-310.40466,-234.95363,40,-22.19297
31,-300.67578,-225.77762,55,86.528
32,-306.0551,-203.1943,64,135.22395
33,-312.40639593647563,-190.92658415204352,81,468.38654
34,-305.119,-209.56941,52,-35.969208
35,-306.63724,-206.45247,54,96.59671
36,-302.09503,-163.59903,106,285.3545
37,-302.7798,-244.26521,36,-14.424057
38,-314.51530899590375,-214.47276314451994,54,166.56302
39,-306.1586,-222.73048,49,16.583801
40,-311.4161,-268.06873,28,-147.24243
41,-308.45782,-231.8918,44,15.557014
42,-303.40762,-250.5056,32,-59.360157
43,-300.77396,-194.5244,58,2.550232
44,-313.62296,-207.02191,64,200.84494
45,-310.5594,-246.75563,42,6.614853
46,-300.9798584760448,-226.65789724699124,59,171.85565
47,-304.82886,-163.82419,100,314.43427
48,-301.69553,-222.60803,55,20.529549
49,-313.35262155596394,-177.77981987008212,106,753.87244
50,-309.74298,-209.22536,104,995.4011
51,-311.96918,-248.6638,35,-80.176285
52,-303.9410056268909,-204.64531909908663,67,202.9194
53,-302.35825,-179.4102,80,97.106415
54,-303.86395,-234.7976,73,235.5625
55,-308.5559,-222.63635,48,-72.967064
56,-301.17708228357947,-139.90195839054587,129,743.7958
57,-305.72632,-261.13565,29,-153.03778
58,-302.4135,-216.22281,60,245.04233
59,-303.79373,-223.05612,47,60.841248
60,-313.23317373215485,-173.40140447799422,89,398.2089
61,-300.4977719864486,-200.70636251861717,64,225.23715
62,-302.64496,-231.18979,49,9.222717
63,-302.42654,-200.43896,73,328.34137
64,-300.45004,-199.66693,64,78.86932
65,-300.85147,-204.80856,72,86.26108
66,-309.33887,-230.61975,52,240.58481
67,-303.29272,-207.24792,52,107.974106
68,-304.49084,-182.3717,85,467.82013
69,-304.57935,-205.2575,65,93.29109
70,-301.6551,-245.26729,38,10.131035
71,-301.41266,-189.44492,64,-36.920742
72,-302.22278,-179.37502,125,196.0582
73,-300.55353,-202.34471,64,61.82431
74,-300.52777,-179.52386,105,144.70952
75,-306.0681,-181.96875,76,117.34108
76,-300.1435,-200.23398,61,159.29715
77,-310.348684430059,-209.90775848047946,55,-31.796188
78,-305.5292,-208.65157,79,37.62065
79,-302.1394,-244.01009,34,-177.99458
80,-309.39978,-219.8951,49,-6.4536285
81,-307.75763,-177.67859,78,261.8457
82,-306.97623,-198.81657,63,76.834915
83,-307.38792796459785,-145.46342588514813,122,727.5228
84,-313.9202,-173.31714,80,465.5072
85,-300.63492,-223.84038,46,-16.844528
86,-303.7286986158032,-190.36568521989832,102,410.75613
87,-304.10275,-235.70428,64,69.67825
88,-311.78848,-244.76462,38,-45.31986
89,-303.3859,-183.21878,94,158.44412
90,-300.35104,-230.84427,39,-30.721405
91,-303.64893,-200.0846,75,205.9335
92,-304.03094,-245.92986,37,-29.655731
93,-302.85764,-168.99193,112,595.3507
94,-311.46228,-241.6883,46,49.230026
95,-312.69153,-233.35315,43,-57.623074
96,-301.03286549418743,-216.91374384140747,85,319.57684
97,-305.6064,-229.90456,59,32.290253
98,-300.0741,-214.07898,47,-4.699829
99,-304.553,-236.45988,40,-41.17315
100,-315.55588,-238.10817,43,73.580185
101,-300.57266,-206.20845,57,70.91365
102,-314.07139657977893,-169.50770947296388,83,619.8908
103,-302.79117,-233.68225,39,-58.179504
104,-302.46466,-253.96524,32,-21.903458
105,-302.41147,-191.04413,73,42.005753
106,-305.06,-194.55966,63,3.6220322
107,-310.1151,-227.11095,48,68.024
108,-306.676,-256.29443,36,-37.638798
109,-310.53452,-246.45854,39,58.411194
110,-309.0114,-164.56763,99,619.434
111,-304.34293,-251.47282,32,-163.64503
112,-307.4957,-193.7502,69,15.196213
113,-302.82092,-209.36566,53,3.6241226
114,-307.3154,-243.8557,39,-70.846535
115,-309.39084,-258.48355,34,-65.63838
116,-301.9124,-195.63823,92,150.81274
117,-305.5093,-240.60503,39,-42.818073
