episode,reward,steps,distance_traveled,steps_in_target_lane,avg_speed_diff,speed_deviation_ratio,fail_mode
50,783.92737,200,2058.67,196,2.9812446,0.025,0
51,89.97398,34,337.09427,33,0.7779073,0.0,1
52,145.61736,46,440.16986,41,4.154907,0.10869565217391304,1
53,274.51703,65,637.50433,60,1.8519989,0.07692307692307693,1
54,108.67056,36,356.24576,31,2.6508136,0.08333333333333333,1
55,371.63055,71,704.0549,71,1.4183854,0.0,1
56,1000.60974,200,1992.2881,197,1.473307,0.0,0
57,393.7052,81,816.29694,80,0.795361,0.0,1
58,1109.5149,200,1993.5645,199,0.7080249,0.0,0
59,452.01617,103,977.17664,103,2.8992708,0.0,1
60,404.30365,90,853.68396,90,2.5577197,0.0,1
61,510.20523,105,1085.5653,105,2.045694,0.0,1
62,324.0543,72,725.30444,68,1.8700714,0.05555555555555555,1
63,1027.2433,200,2012.8176,196,0.79481566,0.0,0
64,290.8566,76,727.5491,70,2.7571626,0.0,1
65,996.5135,200,2013.0093,194,0.80161124,0.0,0
66,584.0039,200,1881.796,180,2.883991,0.025,0
67,9.809342,19,177.9491,14,5.0172777,0.2631578947368421,1
68,59.100674,26,258.0934,21,4.0734353,0.19230769230769232,1
69,200.82947,40,396.85287,40,0.6443621,0.0,1
70,842.2539,200,2054.8547,196,1.9764079,0.0,0
71,866.2441,200,1969.2322,182,1.5749398,0.015,0
72,486.57428,200,1920.383,184,3.187722,0.03,0
73,858.2499,167,1666.1387,161,1.5190446,0.017964071856287425,1
74,165.49606,54,536.4384,48,2.6570117,0.09259259259259259,1
75,296.71664,62,640.1496,62,1.873571,0.0,1
76,194.28328,49,488.9582,44,2.9596376,0.10204081632653061,1
77,170.09373,51,509.45178,46,2.2782433,0.0784313725490196,1
78,721.0855,200,1951.1531,185,1.9155849,0.015,0
79,91.2605,25,251.21704,25,0.97655565,0.0,1
80,1004.92065,200,2050.0964,198,1.4985776,0.0,0
81,948.5067,200,1976.3987,183,1.1980616,0.025,0
82,280.07852,56,564.44403,56,0.6891746,0.0,1
83,979.3995,200,2030.4624,196,1.2357173,0.0,0
84,843.6114,200,1918.662,187,2.5994382,0.01,0
85,416.7774,94,927.94653,90,2.0650992,0.010638297872340425,1
86,319.1286,72,731.1047,71,1.1108756,0.0,1
87,832.79736,200,1986.9973,180,1.3235385,0.025,0
88,737.0657,200,1921.0133,182,1.8533608,0.005,0
89,670.90674,140,1410.0309,136,1.6214026,0.02857142857142857,1
90,1002.33606,200,2044.4607,196,1.3731575,0.0,0
91,376.30997,67,673.44464,67,0.5113791,0.0,1
92,80.94434,19,187.05661,19,0.445076,0.0,1
93,974.04047,200,1989.5049,192,1.4784539,0.025,0
94,907.8158,186,1833.7882,173,1.7727613,0.026881720430107527,1
95,304.74142,104,1060.9408,97,2.4885519,0.0,1
96,700.8538,134,1349.9785,132,0.8102418,0.0,1
97,364.754,68,691.012,68,1.034143,0.0,1
98,887.696,200,2035.4021,197,2.0787947,0.025,0
99,118.30425,38,378.30872,33,3.028395,0.0,1
100,267.0755,190,1776.85,170,2.7606819,0.03684210526315789,1
101,43.368107,14,135.14429,14,1.4516746,0.0,1
102,335.2538,85,854.7878,85,2.6512094,0.0,1
103,719.8825,200,1982.6077,179,1.9427791,0.005,0
104,961.9024,200,1979.6196,182,1.040292,0.025,0
105,1099.1388,200,1993.1733,198,0.76105714,0.005,0
106,768.75214,200,1866.0597,186,2.702575,0.045,0
107,493.82663,176,1788.9752,168,2.6144602,0.08522727272727272,1
108,775.48145,200,1974.8022,182,1.5424215,0.0,0
109,588.10236,190,1781.3522,173,2.0547745,0.015789473684210527,1
110,113.92004,51,468.07025,45,5.3068504,0.0392156862745098,1
111,597.2206,200,1980.823,182,2.3675208,0.025,0
112,670.8038,200,1947.9062,184,1.7503794,0.015,0
113,1075.0496,200,2025.8413,198,1.0086795,0.0,0
114,837.78516,200,1989.752,181,1.4030907,0.025,0
115,148.49046,43,425.0243,38,2.0626981,0.06976744186046512,1
116,959.426,200,1975.45,185,1.2940603,0.025,0
117,492.90775,200,1912.5559,179,2.429405,0.0,0
118,706.89124,188,1801.3921,177,2.640519,0.02127659574468085,1
119,816.33014,158,1531.3602,158,2.0465908,0.0,1
120,123.33404,193,1924.8357,169,3.0301511,0.05181347150259067,1
121,503.75757,195,1961.2354,180,3.8911202,0.09230769230769231,1
122,664.30133,185,1820.4491,171,2.2430315,0.005405405405405406,1
123,40.411945,25,248.46603,20,3.748112,0.2,1
124,971.4783,200,1957.8428,199,1.9449012,0.005,0
125,783.7311,200,2002.3684,190,0.9302518,0.0,0
126,50.082275,34,319.01068,30,3.910197,0.0,1
127,146.29553,38,374.81128,38,1.1482489,0.0,1
128,304.30463,57,577.3213,57,0.93604696,0.0,1
129,232.8859,61,608.39,55,2.2059872,0.03278688524590164,1
130,920.0029,173,1717.9617,172,0.9899888,0.0,1
131,59.03582,28,277.1841,23,3.6589818,0.07142857142857142,1
132,173.5678,35,338.8703,35,2.0151615,0.0,1
133,59.446606,44,395.91513,39,5.515703,0.06818181818181818,1
134,335.48328,82,786.6096,77,2.9705188,0.04878048780487805,1
135,288.03012,68,672.2627,67,2.1037107,0.0,1
136,678.0488,131,1320.4109,130,0.9098337,0.0,1
137,298.5584,60,597.23627,60,0.5819649,0.0,1
138,396.93002,81,812.21277,80,0.6176144,0.0,1
139,653.7732,200,1943.8231,185,1.8807094,0.025,0
140,395.73508,200,1842.742,179,3.888164,0.06,0
141,534.33734,105,1058.6898,104,1.0733689,0.0,1
142,618.0259,200,1821.4915,183,3.5326364,0.025,0
143,224.8873,52,525.8323,52,0.92793363,0.0,1
144,189.99586,140,1423.6667,131,2.7983177,0.11428571428571428,1
145,677.9963,145,1502.1754,145,2.503011,0.0,1
146,750.83685,159,1633.0808,159,2.3666577,0.0,1
147,173.22493,38,361.02295,38,2.5075562,0.0,1
148,804.5254,200,1928.7594,184,1.8293979,0.015,0
149,213.50653,42,404.3045,42,1.979984,0.0,1
150,337.46176,75,747.12726,73,0.46712926,0.0,1
151,936.7039,200,2005.793,196,1.5987632,0.0,0
