episode,steps,reward,discounted_reward,steps,distance_traveled
0,59,-563.1073440970868,-289.1856393060799,59,159.929931640625
10,576,-516.6402618252831,-342.3160827375723,39,-121.55393981933594
20,1004,-524.4289358128515,-359.26997992414414,24,46.83460998535156
30,1420,-593.91971297108,-382.1982209187311,28,108.27500915527344
40,1894,-534.8625667306911,-355.67339649722874,25,250.19854736328125
50,2351,-516.2028116521686,-212.51448211221697,76,275.1587219238281
60,2780,-509.7336632282652,-254.53765247334238,61,120.36044311523438
70,3272,-515.5178920307435,-241.39141946704711,62,203.64511108398438
80,3741,-505.42910485193374,-195.26238862134647,71,151.04969787597656
90,4324,-502.7654901357773,-285.1648483583541,45,-106.10850095748901
100,4848,-507.9131260431351,-204.53362665952253,80,375.732666015625
110,5369,-563.2402976574567,-349.4852825144624,30,62.748016357421875
120,5883,-503.8568500393333,-188.02138577656584,83,211.8482666015625
130,6427,-535.7361237367518,-385.0302995186349,21,202.67153930664062
140,6885,-587.3643043295565,-421.3079335853654,21,32.368896484375
150,7386,-586.2786839498855,-445.6303296536593,18,111.60832214355469
160,7873,-564.0448276693626,-348.2621786162498,33,94.10354614257812
170,8361,-510.254780783283,-284.76094627329053,52,-112.11509227752686
180,8871,-503.4333934293142,-182.30463642915217,80,427.61187744140625
190,9528,-527.5968112147605,-320.76333316598226,30,57.694610595703125
200,10116,-571.1892421261649,-228.96571728322047,67,505.40692138671875
210,10690,-500.9991406455914,-263.92891381896595,66,134.9259490966797
220,11186,-514.113537048837,-317.7075303928711,44,-118.30206680297852
230,11639,-574.7816542978794,-356.8482599379582,30,16.780105590820312
240,12089,-503.40771398448885,-290.32430868211463,64,66.87942504882812
250,12630,-500.247956881091,-177.3730668168909,98,343.0996398925781
260,13070,-537.0454113869514,-352.82151095356693,27,98.61335754394531
270,13502,-582.8484242831631,-391.830719516556,25,133.97056579589844
280,13940,-576.9860284170682,-384.30599099482913,25,158.377685546875
290,14363,-557.1259264025534,-285.4393463558411,43,475.0372314453125
300,14860,-530.7321635187353,-278.7337149848157,49,71.85159301757812
310,15256,-575.5156226962898,-426.1846811492667,19,134.85028076171875
320,15730,-544.8443935404579,-353.16518247498254,26,131.1206817626953
330,16240,-505.2622584192606,-277.05232844761343,63,60.4786376953125
340,16691,-502.71858999979275,-299.8074243622627,45,-133.9861068725586
350,17165,-511.78754096410466,-212.76139267609503,98,222.25653076171875
360,17619,-548.3057165897452,-387.50876034290894,22,157.06842041015625
370,18245,-582.6543467639099,-266.1106438359597,57,614.471923828125
380,18624,-514.8708794210739,-386.51871939382403,18,71.57978820800781
390,19007,-511.1572356061546,-266.7971115088816,50,193.7806396484375
400,19514,-519.1965855042256,-252.44447804713917,53,471.99981689453125
410,20036,-510.7327736818917,-383.75458847734717,18,143.57017517089844
420,20583,-500.6009524532901,-277.4225386147707,47,132.2660369873047
430,21038,-515.5348940760451,-226.77723750736905,66,180.850341796875
440,21507,-544.7672792320079,-246.87492526602634,60,66.37931823730469
450,21979,-504.51331441955574,-250.2011946154892,77,330.5904846191406
460,22557,-563.5491038069175,-440.8177059904327,16,9.231315612792969
470,23159,-512.1222236950571,-228.36074295839916,68,242.846923828125
480,23648,-591.4914619436818,-425.7231034648292,21,190.19180297851562
490,24115,-518.6707481859768,-328.3979310981016,36,86.15119934082031
500,24596,-504.51320059590904,-200.14424321644876,80,404.2922668457031
510,25112,-589.0162197057736,-320.3160481656359,38,319.05535888671875
520,25596,-501.2537716726773,-245.7885795339789,63,104.06344604492188
530,26074,-524.2953382644785,-396.13614856845277,18,93.27513122558594
540,26537,-500.35920156133596,-317.98345037469505,43,-4.659889221191406
550,27047,-500.11506715931756,-310.991655730587,43,-158.17845916748047
560,27535,-525.5018594102715,-271.06176637639254,42,375.5883483886719
570,28209,-522.7420610223948,-336.8376523143592,34,198.738525390625
580,28769,-528.409751548893,-355.27290233146914,25,-58.62883758544922
590,29326,-586.6481235512225,-393.58922116066384,25,94.71737670898438
600,29762,-505.2673698018092,-234.7031523839645,57,485.5517578125
610,30245,-515.2526710054008,-268.3767486984008,51,-94.49996852874756
620,30758,-507.2222983881472,-301.4307200033353,48,-22.55859375
630,31314,-500.89310859121167,-330.90397559846946,49,-174.1291732788086
640,31804,-502.2233389804081,-270.3114056423517,62,121.77702331542969
650,32332,-504.6051276448579,-265.23545292388616,67,176.2979736328125
660,32916,-506.41418223473363,-252.47546998269206,69,147.8551788330078
670,33448,-501.76694592272327,-283.58763711262446,57,235.54959106445312
680,33920,-573.9434213044323,-382.795868209665,24,56.41908264160156
690,34514,-502.728291921857,-182.1157078501218,85,396.14093017578125
700,35051,-503.7531909785503,-240.87459280651518,83,494.182861328125
710,35521,-526.1285556117981,-356.63035304361705,26,-28.621849060058594
720,36032,-502.4319074767616,-253.02907335193657,68,217.77163696289062
730,36518,-508.66598765486117,-194.89116394441115,89,1261.6888427734375
740,37053,-520.2981735322285,-262.5831888436188,52,602.4646606445312
750,37585,-503.3511053212062,-367.32285656298103,20,57.077178955078125
760,38011,-541.4055126228063,-358.83470677379444,24,74.99546813964844
