episode,steps,reward,discounted_reward,steps,distance_traveled
0,26,-538.4263611254921,-359.8671815857802,26,48.505767822265625
10,608,-502.7432982577817,-323.45633230537254,40,-99.94448908790946
20,1010,-590.1765843461671,-211.23314259114696,65,501.06231689453125
30,1493,-510.0632561735352,-259.1547750322482,54,-85.66709995269775
40,2109,-505.36795323320155,-277.2672143807474,50,-24.683189392089844
50,2720,-502.3091274091495,-293.3922675026535,58,130.52069091796875
60,3187,-507.4524611050756,-194.13481798720477,74,444.30914306640625
70,3557,-600.9951345389626,-457.12707932183974,18,32.99072265625
80,4025,-569.2325752128154,-402.40774922720175,21,37.3343505859375
90,4457,-519.9233475166465,-302.5456826616077,45,154.53463745117188
100,4933,-500.5004815719626,-274.2084724989199,60,158.53045654296875
110,5498,-502.1582380241302,-209.97723662956912,85,243.72052001953125
120,6031,-500.1325516849295,-299.6733715583419,41,103.01377868652344
130,6554,-510.1157807611375,-219.61389217509992,107,717.508544921875
140,6994,-600.4496395554776,-479.5074518863793,15,-49.91884231567383
150,7560,-522.6220292265126,-217.25827056776308,67,812.5203857421875
160,7999,-521.5268397275797,-291.0973114572433,46,49.75172424316406
170,8384,-506.488980798911,-336.9861159184058,37,-35.04802703857422
180,8782,-536.5738504255452,-394.23514282391176,19,78.28839111328125
190,9369,-504.43612114519004,-312.2694559329215,49,55.83760070800781
200,9984,-503.046531433195,-268.8466644332105,53,82.81782531738281
210,10528,-590.0505825802577,-311.04085033041105,38,238.31057739257812
220,11038,-511.70010148871165,-266.2843115311232,69,98.29551696777344
230,11599,-515.2661725909035,-298.3339023592494,48,-90.98964309692383
240,11999,-519.1076350356976,-185.86799646450737,71,544.9559936523438
250,12574,-502.0810074170218,-241.6099581043367,74,243.32269287109375
260,13128,-504.77763818070764,-323.8268322303186,27,-50.661231994628906
270,13587,-513.4471679606283,-330.41652872484707,27,151.68902587890625
280,14116,-526.7375558470494,-316.0701654170049,39,-17.379043579101562
290,14573,-576.1405283762095,-356.9212396990657,32,227.67877197265625
300,15065,-523.8050456961575,-326.019670524117,28,205.8631591796875
310,15578,-585.7237104559639,-268.0520822873598,49,220.60699462890625
320,16202,-505.9804192621471,-310.62334533469254,48,-299.62953186035156
330,16820,-507.62934415426935,-260.02669217225525,64,175.77755737304688
340,17429,-560.1636863054871,-345.2485826245846,30,133.14268493652344
350,18068,-505.5004580924399,-139.74619385590336,91,145.5967254638672
360,18531,-504.15584228304397,-313.9593273422436,50,36.56571960449219
370,18985,-576.7881413418735,-417.654036895915,20,66.52134704589844
380,19369,-510.94236009575525,-349.40961245990945,23,13.984367370605469
390,19901,-517.7113273755616,-392.10736396985504,18,153.5706329345703
400,20378,-504.87391445137695,-227.51749336553948,76,330.32586669921875
410,20867,-501.66901137088337,-253.76905607223523,71,228.35897827148438
420,21479,-586.7491772957743,-419.19110501472437,21,100.16108703613281
430,22051,-556.9065174076916,-347.8287657124081,38,-32.82782745361328
440,22624,-507.76678572720084,-285.6898618053306,63,118.46885681152344
450,23150,-500.416935379632,-337.4121431964054,39,-42.47237014770508
460,23630,-502.20406848359494,-291.2222336446248,61,248.90945434570312
470,24150,-513.5696729771905,-281.47301162852347,54,599.648681640625
480,24626,-561.3252934830344,-242.69561367532094,60,375.7833251953125
490,25165,-504.0816857706067,-309.69625553841405,45,-182.5295181274414
500,25789,-505.0794006016736,-206.1866885591948,63,-23.99311065673828
510,26271,-505.050765694324,-262.29391111610636,59,697.4057006835938
520,26703,-582.2165434706086,-312.8610675111717,39,122.10871887207031
530,27213,-531.2261220877459,-263.3230675021022,49,355.1427917480469
540,27655,-517.379959552538,-240.92012180081258,56,67.54244995117188
550,28015,-538.222253868504,-313.6655860630684,33,220.52606201171875
560,28543,-581.4518918428583,-361.525507321998,29,220.09423828125
570,28913,-530.9215982742351,-266.44235717835335,41,262.1885986328125
580,29334,-585.4657550344067,-371.18888293924795,27,182.14035034179688
590,29819,-512.117543176218,-283.298240324133,55,144.93565368652344
600,30176,-586.520488130914,-453.1978576698416,17,48.94859313964844
610,30699,-562.4371944143876,-157.62011070362848,93,757.0197143554688
620,31243,-505.90078455580823,-278.8768698239388,53,44.35386657714844
630,31731,-502.8598904096565,-201.67826725714318,94,556.1907958984375
640,32267,-506.3254015882917,-173.28419166017616,100,815.1530151367188
650,32707,-582.0790917506534,-298.7517355729147,44,208.33517456054688
660,33251,-501.37022662895214,-261.1745234617839,57,63.66265869140625
670,33633,-506.0980823799064,-285.06629105306547,60,121.05839538574219
680,34039,-500.87925066628145,-227.1841429824616,74,237.34988403320312
690,34557,-581.999569440269,-336.27736622361545,36,102.97625732421875
700,35020,-534.0405257666503,-319.3759866918309,40,-44.595916748046875
710,35498,-509.6654046077599,-301.55953233050036,48,-302.814208984375
720,36050,-515.4009423857765,-288.0179720948582,48,-113.80396175384521
730,36552,-507.8465132151076,-209.82230202193804,79,253.67230224609375
740,37128,-503.90593306198747,-257.56081902659724,68,421.087646484375
750,37637,-508.56019178334725,-239.09832548482854,65,494.24298095703125
760,38122,-539.9460910756402,-329.0914059006648,33,78.703369140625
770,38574,-507.3491704231567,-315.0623574476444,42,129.9252166748047
780,39104,-500.61185207355675,-286.5243434450054,42,38.041473388671875
790,39664,-503.7760096400129,-238.61151309294414,62,155.7666778564453
800,40152,-582.443090833576,-374.4213016582849,26,161.17694091796875
810,40645,-511.3947317815037,-253.4989920594843,66,653.6292724609375
820,41193,-507.5264120992556,-303.6118392845797,47,-196.60752868652344
830,41709,-500.90952982942446,-264.46391695794085,75,61.99212646484375
840,42261,-503.03827480384643,-313.3342915503211,42,39.17559814453125
850,42654,-578.1966320258911,-309.03147940360645,51,99.18110656738281
860,43247,-504.92714530633253,-254.42722811093017,67,314.2770690917969
870,43845,-587.6250129793464,-356.0835335492566,29,76.62901306152344
880,44373,-533.0932361331638,-243.91012959825133,59,255.5145263671875
890,44732,-546.7511346326443,-338.1355971996615,31,-77.71709823608398
900,45210,-500.09060457455064,-273.45010656577165,64,134.99623107910156
910,45654,-574.4101804694571,-298.284665892122,40,335.0787658691406
920,46259,-525.6178776820116,-202.99163467169262,64,396.07861328125
930,46739,-523.7429820756028,-370.10545129741007,22,-32.98744201660156
940,47319,-593.2688072718737,-424.98634472507285,21,61.85224914550781
950,47672,-517.3627183139718,-336.00781029389594,36,-3.6283187866210938
960,48086,-506.367802089193,-325.51827592296445,41,-33.950279235839844
970,48690,-528.4108859899566,-382.6816034779053,20,145.7425537109375
980,49214,-516.9428358174456,-346.07301603134783,38,-92.21751642227173
990,49809,-509.9254852888834,-269.9203598321658,64,149.28375244140625
1000,50351,-506.2770215948269,-205.9762568522275,83,476.79412841796875
1010,50802,-507.0777667563479,-231.13169654560997,68,85.67202758789062
1020,51314,-535.4444973711245,-289.7799459369354,42,162.09463500976562
1030,51772,-508.79261977106916,-264.5101390516996,65,152.63685607910156
1040,52274,-533.0816696137595,-402.7275764404806,18,-12.490447998046875
1050,52717,-561.6620560723371,-351.2371038622346,29,89.3634033203125
1060,53063,-500.3604582951438,-257.8910728454652,55,-51.851070404052734
1070,53508,-569.602873633477,-396.05094251627236,24,60.273193359375
1080,54079,-514.4483303528082,-232.61103860817383,75,164.62857055664062
1090,54512,-514.353801956805,-348.6316382227173,24,22.15563201904297
1100,55101,-511.02887325930396,-218.88912585562682,83,867.232421875
1110,55664,-500.5755059982167,-184.0316332982856,89,360.03582763671875
1120,56310,-509.5618087370011,-246.32475667460366,69,245.59048461914062
1130,56738,-540.3767655451009,-332.2382179283922,30,88.28494262695312
1140,57264,-506.6704879570083,-186.83169261295075,95,1166.9517822265625
1150,57790,-500.1660807748133,-279.47308002183945,62,331.3389587402344
1160,58215,-546.6840988859707,-322.74830184237163,31,212.02676391601562
1170,58757,-510.2114964282332,-218.51323840833908,72,236.55130004882812
1180,59391,-501.77171619422023,-173.3680025594694,105,564.2681274414062
1190,59930,-515.4446964392955,-365.0126356555484,21,99.81910705566406
1200,60324,-581.6660615442055,-408.38010602815905,22,97.32072448730469
1210,60791,-502.6560847354487,-227.9784597882532,60,-2.1596450805664062
1220,61353,-501.8846517541006,-255.83480575004336,59,488.7347412109375
1230,61844,-506.39970695369516,-244.48760533948897,72,229.2969970703125
1240,62286,-504.7613324620677,-366.5146059611447,20,65.571533203125
1250,62711,-534.6211516406289,-313.87959038217286,32,150.01113891601562
1260,63268,-569.5923917039432,-188.24623610081912,71,392.9223327636719
1270,63833,-507.3297890795619,-377.2289144596381,19,78.60408020019531
1280,64390,-503.0301400006058,-278.30894537547994,56,120.33201599121094
1290,64841,-507.9363316735953,-257.7786006103024,56,170.26101684570312
1300,65417,-586.3360739360955,-332.28418753075414,36,75.31855773925781
1310,65981,-501.80903353915585,-299.458204119476,56,83.45280456542969
1320,66465,-530.4795650354995,-325.23667058006754,39,47.835235595703125
1330,66875,-615.500304762655,-436.62473643664,21,1.4127655029296875
1340,67294,-584.8887774872456,-357.8821755239826,37,-82.71325874328613
1350,67721,-539.2293419036972,-372.5156058744359,22,131.64608764648438
1360,68220,-503.0466251080427,-291.5821311839609,45,-22.407882690429688
1370,68816,-546.3117637504336,-226.08895286612164,61,232.98501586914062
1380,69317,-503.5004708618727,-267.65975059204385,63,235.46417236328125
1390,69979,-578.5973979440649,-421.1423419954234,20,0.310577392578125
1400,70545,-509.9898376666753,-263.245037157158,66,780.22802734375
1410,70979,-515.5524185005889,-211.96936136401055,51,372.7151184082031
1420,71519,-501.69698612286857,-305.569710306276,42,-21.3248291015625
1430,72013,-507.43396561436316,-323.3286507198297,45,22.61286163330078
1440,72555,-501.5167833985067,-242.89859888187667,75,773.6438598632812
1450,73072,-509.3354916099677,-242.63254392952936,73,61.519073486328125
1460,73585,-506.98153045583643,-293.64641413269635,49,33.291534423828125
1470,74137,-502.50967327186527,-284.45653062003515,51,-181.83795928955078
1480,74573,-510.2759418975786,-255.81006843871415,70,205.47198486328125
1490,75182,-507.1785270039369,-152.4950967981094,85,270.5955505371094
1500,75596,-502.5701762351268,-353.1615908075423,32,-133.62448501586914
1510,76071,-533.721404826704,-237.09540472152977,57,509.189697265625
1520,76578,-513.2006214594604,-148.35721725757395,100,461.84393310546875
1530,77077,-578.9227535895133,-434.8679031690119,19,-27.99310302734375
1540,77577,-500.0232039709189,-399.18566596175157,15,31.4996337890625
1550,78004,-509.68576214780865,-286.87705312320804,56,89.48579406738281
1560,78562,-509.5646464072769,-288.3064257383435,46,-198.2517318725586
1570,79232,-504.82683093832674,-194.92993457405686,106,463.6046142578125
1580,79676,-501.529031689771,-290.69591262685447,36,209.75070190429688
1590,80188,-515.4956582215275,-190.57198500992715,57,403.7817077636719
1600,80654,-510.7726856276758,-248.49154522144678,56,-130.92656135559082
1610,81135,-503.9621183754181,-331.3538664437719,45,38.991485595703125
1620,81633,-575.0652532272991,-410.1384252224587,23,-134.24038314819336
1630,82068,-547.926924812031,-305.89368512859653,41,-6.132240295410156
1640,82648,-520.4685770881315,-328.41095235153585,30,143.49917602539062
1650,83197,-526.7197484254954,-331.5553489371209,34,44.6727294921875
1660,83672,-504.0093635498551,-331.0149669681738,38,-150.7173194885254
1670,84151,-504.2705653982781,-279.10580334027753,61,75.63619995117188
1680,84634,-501.96818807178136,-251.11118039225792,71,210.25823974609375
1690,85102,-527.3000130453506,-392.6017430831068,19,140.7419891357422
1700,85638,-553.5604949925416,-448.77558152817335,14,10.985542297363281
1710,86144,-503.02697788994004,-298.57165830775665,49,-252.54791259765625
1720,86767,-501.40891911080286,-270.13989609531444,56,-188.83867645263672
1730,87329,-503.707292820924,-268.1524415208327,64,95.4766845703125
1740,87925,-574.4023523443166,-256.53099743449127,77,400.5308837890625
1750,88538,-509.0886772136596,-283.6717374630322,63,142.53604125976562
1760,88986,-512.3954815458469,-306.6252060159021,30,227.87368774414062
1770,89477,-514.2941315073142,-254.1633226479377,53,284.2557373046875
1780,90078,-524.8083469165899,-216.87109761165982,72,186.50006103515625
1790,90642,-501.7976239629846,-237.38223077598997,77,219.78179931640625
1800,91112,-507.46809473270565,-255.73165643975213,68,256.3043518066406
1810,91584,-553.0983070819619,-340.4593723433778,35,28.6510009765625
1820,92151,-500.4296287629475,-248.05435294523252,74,628.4647827148438
1830,92556,-505.5846894452277,-321.20452027150014,41,-175.612060546875
1840,93156,-505.01087374236016,-319.63295449063816,42,-78.34703826904297
1850,93613,-525.2950154111846,-324.7965953640535,28,93.23905944824219
1860,94061,-510.5048551957919,-329.85377359458215,29,-50.98693084716797
1870,94553,-541.4902868752564,-302.5812244119974,36,449.0517578125
1880,95116,-513.1334703651634,-332.9990132519898,40,-166.88831329345703
1890,95765,-503.2249196103481,-225.82524116590193,70,331.1911926269531
1900,96349,-500.1192668813473,-212.41093138772962,73,48.74873352050781
1910,96862,-575.9411502898829,-350.37348553223217,45,-144.96776580810547
1920,97420,-503.6229149247394,-307.60148469469055,46,-190.03496551513672
1930,97949,-519.9582957197018,-342.3802521697097,27,70.83306884765625
1940,98541,-595.832269407779,-442.327826873071,19,102.67298889160156
