episode,steps,reward,discounted_reward,steps,distance_traveled
0,73,-504.2111652768657,-373.71002188146633,73,107.068085
10,739,-506.7337927626618,-392.37852884313514,49,-37.317528
20,1417,-507.01612158521914,-363.7317949148577,61,28.710297
30,2100,-509.2925013234769,-387.8999238962224,50,286.36823
40,2730,-503.0216393055726,-352.31633996370806,73,216.05896
50,3458,-504.30802711635863,-386.7144255604976,46,-205.43188
60,4072,-504.87259487291,-385.25408509096303,48,386.28445
70,4640,-500.2916589747586,-341.71434258443793,68,-129.95163
80,5224,-511.63103086877425,-371.5506620555608,55,-37.30113
90,5897,-511.63446126499156,-355.80683267299395,54,83.74925
100,6637,-511.84932388928064,-285.82887073917925,91,415.2445
110,7311,-514.4856975041437,-345.1521230918295,65,337.3164
120,7975,-502.9275244671991,-308.9540388346441,78,449.87775
130,8612,-511.6643597423349,-409.9477781251775,38,-235.17949
140,9252,-508.26302167274304,-344.8640749950713,66,506.74524
150,9889,-500.7423518106859,-365.74518858095075,70,433.01855
160,10562,-505.0410468161587,-350.21650529249933,65,9.783974
170,11235,-512.7479787554429,-319.7230131471166,84,279.51917
180,11930,-507.0718253665572,-349.91410150889226,62,381.04166
190,12623,-506.8048736892891,-340.6354346559653,65,86.28612
200,13233,-508.11370904138494,-354.2507396004807,71,491.11163
210,13845,-500.0933395103823,-341.94783173574643,72,340.56357
220,14524,-502.66792920653256,-351.0012099279034,60,78.63811
230,15349,-511.2867678373407,-378.0670568942602,54,81.06375
240,15923,-510.7743067880491,-375.85772032952474,62,333.6502
250,16689,-509.335297168906,-354.65953284283967,58,-99.805855
260,17275,-510.1657560414919,-361.85267708911516,57,563.9505
270,17869,-514.4264651597954,-374.3695921252465,50,-153.47043
280,18501,-503.3506858787608,-345.4294387206864,61,-32.69969
290,19223,-500.0055701446385,-306.86040975135177,110,353.85553
300,19856,-500.5168839356421,-342.9880863109828,64,227.85785
310,20490,-502.88309693174944,-366.6461198957922,59,113.29065
320,21080,-507.39523921904447,-384.82001686128,48,-181.53477
330,21631,-514.0924032303802,-352.50334283927765,68,21.886398
340,22238,-512.0120877683784,-391.3983535512932,48,22.41143
350,22875,-503.0701745022162,-357.158591313925,63,-46.846302
360,23456,-507.33973978529355,-383.1231647171012,47,125.79352
370,24159,-501.8579450940548,-352.4002300015591,60,-162.42688
380,24785,-511.06868579593805,-364.48902069930034,52,114.869965
390,25499,-505.7916418821188,-361.62722019363997,59,-36.873844
