episode,steps,reward,discounted_reward,steps,distance_traveled
0,50,-503.67047401070596,-393.8361609757056,50,95.14743
10,613,-500.2757036693394,-346.2209350002484,61,393.70065
20,1127,-501.9338988386095,-388.72769734529925,47,153.4516
30,1680,-508.8286366339028,-300.05145154010006,80,140.44402
40,2272,-513.0632820464671,-345.2144697417484,59,-240.21475
50,2990,-514.9122085116803,-412.40380739410847,34,-76.07667
60,3591,-501.25519254609947,-291.202619080715,69,19.611588
70,4189,-503.1997288137674,-376.35639279106186,41,-70.7144
80,4830,-504.535903178379,-346.9033025052914,73,281.71475
90,5424,-513.3105887509881,-390.2418607674772,43,-0.15872192
100,6002,-505.13034347921615,-329.17942817625953,70,147.24103
110,6707,-505.26096097826957,-385.16837915561246,47,-43.762028
120,7248,-501.8356473028661,-327.7563708798297,68,284.60883
130,7809,-506.60123072192084,-337.7937321444974,67,-312.14255
140,8512,-500.97558421194555,-355.5895669276254,55,249.67056
150,9272,-509.4212341691555,-228.70144844967749,112,1150.185
160,9877,-521.4570226863026,-402.05336346006567,41,177.22897
170,10514,-506.1493516363202,-408.0098469284815,42,-147.62207
180,11101,-506.5186976687611,-351.85530961158355,77,65.08066
190,11725,-500.2558359965682,-341.37409288401574,80,207.37387
200,12340,-512.2732929293066,-348.8173963933491,54,72.255905
210,12890,-513.7968346595765,-411.3899611417789,41,21.117592
220,13388,-504.54197807945314,-383.45407533899635,45,316.46445
230,13966,-507.5184945225716,-361.334743446481,54,130.06601
240,14524,-523.8372125521303,-385.38173891582574,47,406.55127
250,15047,-512.4956317983567,-412.74535061761406,36,271.3402
260,15652,-512.3130999957025,-388.5638231822927,53,434.09515
270,16258,-521.0068105511367,-434.4144161370311,31,142.14517
280,16870,-503.3953403621913,-358.76468915486373,50,-80.76945
290,17469,-507.30687976732855,-346.02013309057645,60,150.00487
300,18073,-500.70264657020573,-324.5558264796797,71,173.09418
310,18655,-501.01354870051136,-367.4915736265801,76,209.88202
320,19241,-519.382936051488,-317.4797703179514,60,188.0961
330,19889,-509.2061416231096,-397.18900502969734,44,61.987656
340,20464,-507.6760129019619,-281.62628504593044,95,146.91245
350,21105,-514.3880949210376,-405.67383843522407,39,241.03256
360,21611,-501.48042759075764,-402.9718736644006,39,36.308624
370,22213,-523.656427063644,-297.4317908452677,69,358.09296
380,22891,-503.47571033164854,-393.53313726756085,39,48.020203
390,23471,-508.81017519161094,-303.01683232490495,65,412.302
400,23971,-502.2532799646257,-400.12174588693904,36,-157.67023
410,24542,-503.59656628951427,-337.3696575596724,56,474.36688
420,25120,-518.1080236713588,-368.99556903887066,50,278.04947
430,25677,-514.885651114583,-298.5099123446369,76,348.146
440,26330,-504.9812015219033,-307.33417011759377,81,554.114
450,26991,-502.5516588866712,-401.71350065259895,68,215.98212
460,27619,-502.0932765099408,-282.62954708545504,92,330.26367
470,28271,-501.83163154236973,-316.6200335464742,70,383.19464
480,28829,-514.0761812503634,-342.49941410508006,62,-312.1934
490,29376,-506.8424798004329,-382.19292907309364,46,24.82476
500,30091,-515.6826474606992,-376.9885278164104,44,147.66739
510,30564,-505.7497574328631,-373.1051021652065,45,221.99191
520,31205,-508.7587226520479,-329.08273288092084,72,383.21817
530,31814,-512.1477525658904,-336.34809373168116,62,180.45468
540,32405,-506.5042400315404,-351.04190061137484,56,126.56436
550,32990,-517.4560439053923,-428.082915241561,31,148.10747
560,33546,-504.061918117851,-365.4912519218831,61,345.28027
570,34112,-502.9609109476208,-396.0420581595171,42,320.3428
580,34754,-503.3023392997683,-365.6223217153896,57,-166.06387
590,35380,-510.4749510034919,-357.4027182980162,70,-210.1146
600,35935,-516.6505380101502,-329.20550422688115,63,754.4279
610,36670,-505.40748697072263,-294.17041878245857,97,189.2514
620,37160,-519.3601758848876,-350.4758597560767,55,-189.26114
630,37829,-513.3877258948982,-366.81989223184013,59,-120.89619
640,38404,-505.6477349646391,-384.71314302182026,48,-95.95149
650,39014,-502.5001423552631,-256.2877133854941,114,361.507
660,39718,-501.2373185567557,-354.5684442478996,51,-198.3478
670,40341,-508.8258584055305,-377.8165064569934,52,-73.56061
680,41064,-507.2219937613608,-321.1821451004613,98,467.65094
690,41647,-510.78595657750975,-329.26858615216025,71,679.70746
700,42382,-513.1046268939972,-382.6274918657044,50,122.943695
710,42947,-508.4875458709896,-336.88453312238687,68,61.81726
