episode,steps,reward,discounted_reward,steps,distance_traveled
0,141,-500.2669118519009,-92.42758341931489,141,206.92764282226562
10,2091,-503.61974899153626,-86.51969287793412,106,-63.743160247802734
20,3464,-503.8776316798118,-95.23061338426062,108,-455.4477844238281
30,5219,-503.7826145469042,-57.497748396591355,130,193.39208984375
40,6829,-503.6277124505148,-61.5682061559158,169,-376.5254821777344
50,8347,-502.7591749491712,-67.16538124909854,145,384.2301940917969
60,9723,-506.738038436218,-20.862061348840548,178,-380.2288818359375
70,10902,-502.47660771936637,-79.91566687350603,104,-112.15217113494873
80,12687,-502.0197311750401,-53.98304525924681,156,389.05499267578125
90,14201,-500.09867344945354,-43.14033562671536,170,446.8927001953125
100,15655,-506.2552658575834,-113.64324105887394,92,-469.4991760253906
110,17370,-505.4841249484232,15.618194367524753,230,144.51976013183594
120,18804,-505.7785018094914,-54.091677922311014,188,1211.28515625
130,20917,-502.68196916888115,-9.381234554406857,208,567.050048828125
140,22449,-502.58333462149744,-65.65204597554481,227,459.67510986328125
150,24129,-500.1729040331357,-42.63419524166606,146,965.79833984375
160,25778,-505.01358801341274,9.791262550107673,259,-358.07952880859375
170,27011,-503.74531450531657,-103.62053669443947,106,-29.514923095703125
180,28600,-502.78447899832247,-91.32725774812904,117,722.7566528320312
190,30184,-505.2960276238996,-108.3251065862039,96,-171.21453094482422
200,31727,-500.04187972559333,-25.37476699612883,264,-311.127197265625
210,33016,-503.09561979966054,-60.12124736347399,136,-725.9607543945312
220,34434,-503.21371737879645,-40.42761346409177,203,-129.98424530029297
230,36124,-504.12215076415174,-44.35319490170054,180,1281.0938720703125
240,37853,-503.618227685288,-117.50371081963634,206,-906.39892578125
250,39515,-503.0305980526436,-67.54401110003106,93,174.5919189453125
260,41036,-503.97670776474683,-102.58969515854902,115,303.1968688964844
270,42358,-504.5206091238656,-43.040644766075935,152,294.24615478515625
280,44078,-500.63102076002554,-61.330146800044105,121,82.56538391113281
290,45575,-506.7648229366648,-35.97425708530634,229,614.63427734375
300,46963,-500.3781593993606,-13.48092990822549,148,84.27871704101562
310,48381,-503.6292602392542,-90.05736077187957,172,-291.46534729003906
320,49852,-502.6646156801668,-134.63428036878298,113,-540.5287475585938
330,51000,-504.5199697031698,-105.79784174687917,96,-394.8246154785156
340,52780,-504.6731037108133,11.78071395147415,361,394.992431640625
350,54233,-500.48709624109244,-129.50211926715042,95,68.07786560058594
360,55584,-508.69953415564385,-75.64259384565932,104,216.33425903320312
370,57014,-502.62839174286535,-75.48438282955803,116,388.35247802734375
380,58497,-501.9036540779381,-31.183066031129,296,1343.9281005859375
390,60087,-501.73037403825606,-71.21100868705476,178,792.9937133789062
400,61452,-500.6542517936636,-71.822009387112,178,-497.6317138671875
410,63165,-501.2042701780832,-38.74932746747694,181,224.2879638671875
420,64677,-503.4911430990957,9.10814393766594,173,574.5669555664062
430,66151,-500.3739950374592,-51.090751848596405,118,189.5609130859375
440,67498,-501.7975583812771,-108.497385772094,117,305.7708435058594
450,69135,-506.5590974581552,-44.261802147423154,280,369.1003112792969
460,70849,-505.3874202085528,-140.3893436067649,76,223.38912963867188
470,72366,-500.66807495687004,-18.09873570744624,195,-279.55442810058594
480,73859,-500.18127113246084,-108.24837856230529,101,-368.61199951171875
490,75375,-502.45088398426395,-100.21635080950603,129,374.08203125
500,76828,-501.2231443853398,-52.743119065284674,216,717.328369140625
510,78624,-502.6267255137768,-69.48686010708187,121,339.9439697265625
520,80292,-504.78223389402666,-83.55828406790553,147,148.44326782226562
530,82008,-500.29035030227607,-43.48208582986915,125,189.36209106445312
540,83406,-505.0246079393194,-127.02974679719047,124,-173.46368408203125
550,84591,-503.8003152206301,-58.221889105951384,161,362.275634765625
560,86163,-504.7596267087284,-94.95574527474584,120,463.191650390625
570,87750,-505.3347158457965,-87.30070085672021,139,848.7610473632812
580,88956,-503.5169002064794,-99.06901138699466,114,-96.94429969787598
590,90708,-502.7187310433141,-172.65181342315958,88,219.88113403320312
600,92289,-502.53964868390256,4.048425370936645,205,775.0831909179688
610,93731,-500.5923619633297,-54.56662096838445,122,200.71875
620,95185,-500.4324476471965,-83.95259217705322,144,252.28054809570312
630,96608,-505.4947809762991,-83.02473702533115,112,-767.7027587890625
640,97892,-502.45684522797245,-14.96658582081508,198,-843.6798706054688
650,99448,-502.4852350836541,-45.86682764888143,134,620.89404296875
660,100866,-502.0289772312642,-59.01668046792732,133,-662.0291748046875
670,102241,-501.7465361612228,-77.42345893578194,117,-159.36083221435547
680,103802,-504.77665583383117,-122.90392072233323,103,489.6956787109375
690,105371,-505.60709859292325,-109.71480285301813,94,85.68560791015625
700,106773,-503.2456155375843,-47.506304909217704,156,-48.459815979003906
710,108027,-503.6811226748983,-77.32430793077631,142,-234.27589416503906
720,109443,-504.10242974596827,-57.35726524270761,143,958.201416015625
730,110994,-506.1686074709526,-39.87558653011942,139,662.3700561523438
