episode,steps,reward,discounted_reward,steps,distance_traveled
9490,4177454,1235.5155,87.49754,500,5388.817
9500,4182454,714.3081,40.929726,500,2545.2676
9510,4187454,726.9121,74.49044,500,2640.0288
9520,4192165,-192.4385,62.53805,500,730.0941
9530,4196936,407.9672,64.73034,500,5416.998
9540,4201936,1197.8647,42.938427,500,2967.191
9550,4206936,46.442303,9.380538,500,1234.0531
9560,4211936,481.55875,64.18443,500,3278.977
9570,4216936,455.8347,45.364296,500,3242.1394
9580,4221936,100.90417,54.377365,500,2138.402
9590,4226740,545.04974,51.55123,500,3339.3748
9600,4231498,320.8825,101.50844,500,3610.912
9610,4236093,-173.49538,20.380487,500,3811.2227
9620,4240751,616.7368,6.745544,500,2969.2388
9630,4245096,488.64294,25.613407,500,3552.886
9640,4249706,963.08606,69.74679,500,2840.5208
9650,4254706,186.4083,58.052235,500,1640.8474
9660,4259706,-332.18997,-18.992662,500,2992.9963
9670,4264338,106.700035,-2.440781,500,4272.9087
9680,4268959,-31.651443,63.74391,500,3275.518
9690,4273862,541.51465,31.733036,500,2520.3186
9700,4278862,802.8218,116.87728,500,1960.7986
9710,4283862,139.31454,31.767553,500,2843.3384
