episode,steps,reward,discounted_reward,steps,distance_traveled
0,85,-502.8297,-152.08456,85,-538.22974
10,1369,-500.87665,-109.76109,101,-376.33264
20,2965,-503.27954015251703,-80.32679883645315,185,532.42847
30,4203,-501.39932,-39.969765,151,223.45486
40,5560,-501.65652716665613,-99.27355530538884,96,149.27258
50,6812,-505.24731606730387,-123.23590153521549,128,410.24173
60,8345,-502.1597794210947,-75.33278412434498,155,-748.1285
70,9817,-500.6613051118075,-63.913943900270844,139,241.46329
80,11434,-500.35269807156925,-99.38625116617061,99,21.532341
90,12879,-501.9947066811782,-58.387713960714414,144,346.378
100,14421,-502.5583935229972,-9.731210347111505,174,208.37305
110,16003,-503.6304855879319,-107.68715139559269,141,272.23175
120,17826,-505.59338160472095,14.341715286663106,282,1380.8657
130,19208,-500.9286070463964,-71.23766181147646,140,-112.94209
140,20910,-500.90377780935665,-46.450664876511084,157,1175.6084
150,22416,-501.9147512926968,-20.798930540156977,183,933.79517
160,24024,-506.6218634254986,-50.3033508342161,127,640.5283
170,25433,-502.7530022531252,-115.82230247376667,99,929.03296
180,26920,-503.82131688952535,-71.85930250926074,136,-130.51965
190,28814,-503.5596489198911,-55.1610646833277,112,-93.12858
200,30529,-501.95216701241634,-68.82691345093389,124,522.44617
210,31938,-505.66167762460265,-95.72349497765114,100,57.147766
220,33465,-502.6968480403744,-79.41092902020267,145,396.842
230,35064,-502.0002490733703,-20.661703492756192,222,-755.71295
240,36803,-504.02758771873846,-106.40650389913078,96,-142.3578
250,38176,-505.4239704107968,-62.800259361596645,180,420.23132
260,39757,-504.64027080762503,-84.90677815364566,121,-164.341
270,41492,-501.83086803619784,-123.58842726303259,101,96.80766
280,42953,-503.50170781475805,-116.17559075744461,102,896.9985
290,44614,-500.861950970612,-62.31279574143901,112,162.68817
300,45965,-502.762159516472,-87.40304397663091,107,-782.0856
310,47866,-500.9481467413804,-90.69024926453362,104,-192.54044
320,49554,-505.6830800745026,-39.34810175946537,122,218.29498
330,51324,-503.8322677849131,-73.63886507047626,114,-755.9953
340,52737,-505.5028924782796,-107.3549779455137,106,104.06731
350,53918,-505.3233515674773,-63.805382737198535,117,-284.5197
360,55263,-504.60016592017075,-77.78828303163547,103,276.33878
370,57090,-501.40501602018884,-20.1553785961199,278,-140.44301
380,58591,-501.1622557965423,11.464682111656893,238,208.53552
390,60100,-500.26253960581255,-113.27665261617979,123,391.5133
400,61443,-500.048183985772,-37.64438791678526,122,94.955414
410,62605,-504.497792785196,-33.7379439414936,131,84.3367
420,64286,-500.19948233931257,-58.09290369360249,199,368.3263
430,65992,-500.15563631977693,-80.53097996041276,176,217.39297
440,67380,-501.5103828193483,-68.00230713051333,100,246.41504
450,68797,-506.580002985115,-84.62288891769163,112,186.5332
460,70377,-504.17273954424894,-111.80166760791334,99,249.18481
470,71823,-503.84823773865475,-83.45618579942588,148,131.0953
480,73142,-500.49921683046006,-76.908241376441,250,-162.6286
490,74516,-503.33022634905154,-102.8474650707643,98,338.88968
500,75825,-504.6449736132749,-40.65495502897317,155,19.2184
510,77288,-502.9564277924632,-101.48025266360021,167,-547.90137
520,78848,-501.504680543427,-55.8300183010907,125,-632.1027
530,80240,-505.17705876514344,-46.676916646250575,205,-17.845856
540,81741,-501.0396546190632,-84.63691986543134,139,716.524
550,83389,-503.67027342250213,42.25740438693878,257,943.4463
560,85040,-505.0064248483384,-48.38513761104288,128,25.36161
570,86729,-500.44770546089086,-93.96243381973133,160,-17.012596
580,87989,-500.5706380704844,-30.116517568381546,173,-158.85135
590,89459,-502.07529298632886,-31.713459202195995,159,1319.6317
600,90886,-503.4520856835181,-116.85482768050724,97,-151.20795
610,92231,-503.00910062087206,-29.390956374148388,129,229.46262
620,93636,-500.56819150621817,-42.622984347610775,139,663.5316
630,95218,-503.83454990648517,-10.702976831586968,269,476.2229
640,96608,-503.41150091918496,-70.58904043742893,113,686.5833
650,98395,-500.73587415302427,-26.902075130531045,302,-205.51398
660,99900,-505.07275363513423,-112.31812206438828,102,-122.049835
670,101335,-501.8600188994671,-65.3237962672255,126,833.4086
680,102837,-503.606420052172,-52.0726889720553,200,-134.21457
690,104297,-500.2269285659516,-13.132395528692062,149,-134.92358
700,105666,-503.0631969434752,-31.036978416134072,135,-395.54013
710,107222,-500.0605007532775,-1.6973517755926524,264,-155.19946
720,108802,-506.22304823569925,-51.81855989388716,154,-29.12558
730,110130,-504.2221081023491,-121.89215631612612,97,-151.64622
740,111916,-504.79759100610914,-54.972059829592126,136,261.36612
750,113517,-502.79123546244597,45.72281395576093,289,728.14545
760,115036,-502.30116659746255,-100.68385960236242,115,87.29703
770,116848,-505.386225779615,-2.521764195805331,384,704.4555
780,118111,-500.8567531783053,-103.90377568060508,108,132.7074
790,119722,-501.8007813095716,-25.920834342330256,152,178.18057
800,121233,-501.58308345328254,-59.322880916315775,135,406.96283
810,122680,-503.57725553735816,-65.02067723739256,140,-452.711
