episode,steps,reward,discounted_reward,steps,distance_traveled
0,33,-603.7486745223832,-252.45442673436338,33,187.21426391601562
10,465,-504.59853348762357,-177.31909249527365,35,220.30328369140625
20,903,-517.2687766933807,-217.24637262530715,53,162.79824829101562
30,1414,-552.6031483112815,-259.79597838871166,28,280.46697998046875
40,1946,-500.5940966556342,-299.0627213445919,35,-173.79965209960938
50,2435,-518.5192704856099,-227.70807353324417,47,131.64808654785156
60,2783,-585.007738808346,-204.5921093290372,41,225.68289184570312
70,3136,-513.7629321862757,-252.12534547552897,27,173.90646362304688
80,3497,-529.9730388008747,-289.2899744235641,23,60.31549072265625
90,3864,-529.442279884577,-184.31616547627786,59,113.05131530761719
100,4346,-502.0595403689191,-199.90052290908125,57,155.04762268066406
110,4765,-613.3654984009148,-176.65218189129797,57,582.218505859375
120,5183,-553.0645546450196,-275.67194093800305,27,102.28172302246094
130,5643,-595.5482327063795,-199.77018155073378,48,542.7623901367188
140,6272,-516.2863694118521,-127.82653185660273,75,316.9554138183594
150,6757,-510.4905245449096,-151.09677121291057,63,28.851425170898438
160,7173,-507.79338212595445,-76.81999915680899,74,157.30819702148438
170,7648,-628.3245944532491,-169.5673301340027,49,338.2531433105469
180,8135,-550.4727061233575,-315.7492502599067,22,37.48271179199219
190,8560,-520.8017235731076,-238.2842540413608,48,213.78500366210938
200,9031,-619.4405480451509,-373.5069906722858,20,143.9011993408203
210,9544,-504.4666929170325,-165.0212677538009,72,151.4033966064453
220,10144,-529.9839319399157,-250.6022751537759,28,256.408935546875
230,10669,-511.7038920011009,-40.03146162642316,140,696.0542602539062
240,11054,-583.7651887604006,-279.2990143740336,28,214.78176879882812
250,11509,-580.7241705631111,-162.0082449990311,49,450.8841552734375
260,12055,-586.7327676069978,-251.8063735953238,31,-4.3663330078125
270,12552,-505.4992452924223,-159.1130606871992,89,233.56179809570312
280,13103,-604.4024930956423,-281.30560255397165,31,129.88400268554688
290,13533,-510.94222598928775,-374.10883104562987,13,43.739227294921875
300,14015,-517.910229688899,-243.06436769890698,42,238.56680297851562
310,14655,-506.5036267486502,-67.21215350256014,139,604.7166748046875
320,15046,-521.0791951437741,-358.546198679511,15,59.821136474609375
330,15645,-588.34882759503,-76.64963441136088,80,683.44677734375
340,16053,-508.39398621004574,-249.36704917076554,36,204.06805419921875
350,16496,-548.8517817791239,-253.1359191382245,34,350.8761901855469
360,16935,-505.95650733355944,-248.42646954269065,46,13.277412414550781
370,17600,-558.4193961528847,-311.82342142034406,22,41.957977294921875
380,18130,-509.6223103425854,-157.38359539351285,62,167.04104614257812
390,18676,-513.3558319414292,-208.77910006907484,50,-134.0919952392578
400,19175,-504.66435377820613,-174.00174318141612,62,150.48094177246094
410,19712,-506.5487891772162,-209.75398859941058,55,75.79501342773438
420,20156,-503.6955454586539,-317.71907236827576,18,70.159423828125
430,20552,-549.5310939702605,-329.8406647094599,21,32.65501403808594
440,21147,-667.3867390959998,-462.85871205079127,15,55.45814514160156
450,21646,-665.1117870855629,-355.08143997591594,23,169.184814453125
460,22213,-556.4040532720992,-313.07355196100394,21,145.2974395751953
470,22633,-519.9513174987871,-108.3666421468101,65,684.5589599609375
480,23251,-524.3360112362058,-346.10162721112823,16,79.40380859375
490,23810,-528.9344395128833,-279.4952604614298,23,129.79302978515625
500,24281,-510.0384613908144,-240.57464768279223,39,-17.148406982421875
510,24751,-500.60634234043033,-234.8446571373006,48,7.247795104980469
520,25253,-654.5756248244596,-418.32659492119353,18,56.578216552734375
530,25635,-531.1429655075883,-206.00926481556297,52,-42.00007247924805
540,26223,-643.9196458349388,-290.6208838951952,32,215.63436889648438
550,26604,-546.7705773173664,-207.31832271813823,36,459.1219482421875
560,27023,-528.3219960614665,-362.3411601632771,15,18.633087158203125
570,27479,-502.3372761227281,-158.3522372031939,70,693.9684448242188
580,27929,-663.4199686238691,-129.55116664464032,59,800.7346801757812
590,28403,-508.7428848284726,-167.4984222443414,60,67.38789367675781
600,28936,-503.9724483782484,-237.13496847143563,45,20.182579040527344
610,29393,-527.711105129554,-193.0011427342336,35,254.32879638671875
620,29915,-567.6857944251038,-170.45238181938316,40,359.782470703125
630,30490,-507.36875966861555,-200.74121286848,51,54.63407897949219
640,30964,-505.97938722849193,-182.21406518718953,70,543.902587890625
650,31508,-516.6687220601832,-220.45511364690606,42,3.695709228515625
660,31885,-530.298558676525,-307.75551134834063,21,64.56037902832031
670,32484,-504.7326329233444,-177.52357533874394,57,294.04217529296875
680,33009,-503.5818058339151,-137.14199843824485,75,326.6134948730469
690,33389,-531.1059878045924,-116.29587003860817,67,352.63232421875
700,33877,-531.7609973581822,-207.31590356401367,35,222.14108276367188
710,34407,-518.6545217155915,-147.72428128217726,65,264.0073547363281
720,34901,-506.92204939334727,-150.40794140107485,72,169.38986206054688
730,35317,-509.19804516298103,-256.416340123019,37,-0.9324493408203125
740,35883,-572.9004628747729,-179.81795625893136,41,408.17156982421875
750,36439,-528.7249631106099,-261.8872873100471,26,99.44294738769531
760,36883,-507.641708562816,-263.9002160962793,34,-36.3720817565918
770,37355,-509.8040671999091,-277.0886687071884,23,100.02864074707031
780,37774,-510.5546628695921,-240.85658295102817,59,556.6031494140625
790,38356,-654.3238413181584,-115.82692538441005,82,609.0899658203125
800,38821,-506.1095596207427,-338.02573507308944,16,62.63441467285156
810,39329,-606.7096096489353,-186.7291919791511,61,88.06289672851562
820,39786,-606.4213050866185,-84.20479045309321,66,735.7979736328125
830,40314,-509.6652152228624,-194.9566117222154,74,454.54376220703125
840,40724,-534.7299309866307,-366.34785958718356,15,19.76434326171875
850,41282,-645.5853541965779,-136.9494899924919,79,564.2854614257812
860,41708,-551.5441098651984,-147.0068089674868,52,361.43389892578125
870,42109,-556.8193144645104,-337.570259391116,20,1.2064056396484375
880,42549,-671.5830575244408,-331.32092369322777,25,190.89883422851562
890,43056,-507.25665376043065,-165.04853523014307,85,158.32122802734375
900,43523,-502.0844541241156,-119.33232294825228,77,228.79330444335938
910,43916,-581.7471134930877,-410.27399128705235,14,42.8746337890625
920,44320,-508.36587093376556,-234.88301170979406,41,279.95538330078125
930,44926,-506.77290137700504,-131.61743219914035,88,423.8402099609375
