episode,steps,reward,discounted_reward,steps,distance_traveled
0,21,-545.9984711178029,-315.81278139006196,21,54.138702392578125
10,449,-509.1053584702085,-217.05512659486573,41,42.34246826171875
20,894,-512.0221874742476,-232.1636911102524,43,11.359336853027344
30,1416,-563.3810150405243,-92.52016658939785,121,715.6397094726562
40,1885,-506.00849018733123,-175.79503148782192,58,48.99922180175781
50,2294,-502.1265952909885,-215.7325929520172,44,-130.43237686157227
60,2731,-534.8260506317406,-213.99658390937685,43,264.5977478027344
70,3357,-546.2873772141235,-236.2993594875119,33,-80.65771484375
80,3914,-502.91452549477714,-183.3526624929808,70,213.09011840820312
90,4349,-526.1329422642345,-336.5239727385726,17,163.46224975585938
100,4800,-508.65527702284044,-304.54859407409106,19,120.73623657226562
110,5321,-505.9231291562345,-103.46728774069908,67,-29.677703857421875
120,5820,-504.06317682982757,-250.39576529865639,43,49.18928527832031
130,6329,-520.1358671189372,-296.65692405638356,34,-334.6512145996094
140,6938,-512.2297116035735,-177.00790033088353,76,64.26860046386719
150,7493,-518.5857284260793,-323.50310919977807,18,34.76710510253906
160,7970,-505.6107232709395,-231.755396299712,43,219.3114013671875
170,8471,-509.5447804803299,-319.42163964135756,19,42.29664611816406
180,8893,-525.6899474223393,-258.86664177995533,42,268.7945861816406
190,9382,-503.6868200848187,-117.13598541373992,93,323.4985656738281
200,9760,-507.7365277946319,-202.6170069219825,45,23.718727111816406
210,10261,-557.7452494215806,-287.8974148308311,25,50.33784484863281
220,10616,-560.2895579632396,-187.8856431196941,47,299.3946228027344
230,11043,-618.6252958328002,-229.90284161731148,56,-34.70603942871094
240,11690,-513.929565233822,-212.0375285377352,44,292.6909484863281
250,12117,-509.90252518986256,-144.31312482052343,74,-3.809051513671875
260,12498,-507.5478610039593,-233.84619929890866,48,35.60101318359375
270,12923,-617.782520763209,-406.695856968993,17,85.44551086425781
280,13383,-507.0550041346147,-225.255164784875,45,362.5961608886719
290,13873,-577.2776164115527,-197.8171533772861,48,175.29901123046875
300,14374,-521.2342974833297,-352.70528249864253,16,19.77111053466797
310,14972,-500.3225065656148,-236.93500221943117,57,120.92527770996094
320,15355,-522.559111909993,-294.8206013962939,21,90.10586547851562
330,15876,-617.1203290932941,-150.09620326449996,46,371.9338684082031
340,16345,-563.540287360088,-153.9567391471408,54,156.83169555664062
350,16760,-539.7177712369067,-276.3780542466268,24,68.4959716796875
360,17244,-501.29336792235114,-214.33755092977532,42,249.81002807617188
370,17831,-567.6555278036856,-186.8968864758314,69,13.69317626953125
380,18530,-507.0684781753999,-160.6161222334418,64,341.6889343261719
390,18962,-556.358402528327,-310.14294118443735,23,8.181907653808594
400,19396,-647.5663199548433,-237.85052641980235,41,261.98980712890625
410,19728,-572.6311801743395,-354.3909240712334,19,29.538589477539062
420,20182,-626.6428119225167,-247.366963235071,40,174.75323486328125
430,20611,-541.5784113988168,-274.5966342991822,33,-82.16580963134766
440,21021,-545.8822212577564,-274.2977068845703,26,231.18344116210938
450,21575,-513.6288055974602,-104.45624612068097,75,569.6724853515625
460,21952,-510.034930406685,-281.5640065072997,22,311.280517578125
470,22430,-505.0480943436086,-217.76766509203168,48,62.76188659667969
480,22864,-517.3113175623864,-125.41927016407071,58,214.65127563476562
490,23288,-516.3521195394213,-108.3012024212808,70,165.99661254882812
500,23750,-585.5682511629111,-221.86709896205664,37,244.52053833007812
510,24110,-647.5404856959191,-433.4990879108837,16,133.4735565185547
520,24611,-519.4985847406881,-311.82606916378126,19,110.007568359375
530,25113,-519.2447787964232,-319.9631378398668,19,241.73883056640625
540,25567,-511.1901163444343,-338.2321548974622,16,116.72915649414062
550,26140,-503.52340386555767,-139.08455287230467,74,62.75091552734375
560,26614,-523.5914730039045,-237.5376375818691,40,-64.47361755371094
570,27066,-527.4092129731746,-168.70853711016665,52,166.0753173828125
580,27513,-510.4007949866261,-150.43289246398814,43,401.6294250488281
590,27994,-582.8562124993895,-393.7470142175048,16,3.849090576171875
600,28348,-660.6626255585011,-146.37547512286648,49,457.1326904296875
610,28860,-579.1150756251567,-268.1217976267804,30,159.48858642578125
620,29233,-503.2177947460691,-206.02279939615983,49,-61.04738235473633
630,29625,-647.455265672896,-268.2350002275974,32,279.4354248046875
640,30149,-512.7559608346988,-252.04742150407216,41,-159.82612228393555
650,30622,-500.3680243301765,-147.96137316971613,61,132.80418395996094
660,31159,-500.36406640159646,-185.99447479467997,92,442.09326171875
670,31506,-544.9258392966966,-270.80548993066884,26,33.5496826171875
680,31961,-515.170396666888,-230.9000334643001,47,173.5755615234375
690,32505,-520.9079714019462,-138.8656183632183,56,512.4155883789062
700,32971,-519.0976219608915,-146.35770855712536,66,507.26959228515625
