episode,steps,reward,discounted_reward,steps,distance_traveled
0,69,-450.3673914314598,-297.84358912747757,69,151.8289
10,740,-456.90635094916314,-339.85773197748983,58,84.21182
20,1390,-459.7037294058578,-335.7601871390919,68,76.46266
30,2141,-457.87038238409747,-330.7464580642742,55,4.592987
40,3029,-450.190935886818,-278.88960489979286,102,297.753
50,3740,-464.8700737664793,-322.030355095577,59,-1.1370087
60,4503,-453.8575755289501,-337.91177702548185,91,120.873276
70,5090,-450.22510982508015,-329.53030365921126,55,24.897171
80,5768,-452.28214998112236,-352.9243898298169,44,-51.436024
90,6470,-453.10580705657605,-345.56272428218176,45,-15.478569
100,7211,-454.13113383485194,-292.34396981762137,72,107.64972
110,7843,-457.9764739445296,-297.27618382500606,74,741.50977
120,8546,-454.19723706911674,-311.48532774306324,85,87.45293
130,9204,-455.4825778388243,-341.5019821992113,55,29.272491
140,9937,-454.65542243937534,-299.8185230149266,69,91.532684
150,10615,-453.66612505513154,-319.81475230112227,73,77.59665
160,11255,-455.76692246737974,-291.9227339665319,79,215.68219
170,12063,-452.1986632377023,-303.20823964850786,67,70.219315
180,12717,-450.59904179532225,-326.85621122620023,68,141.15756
190,13339,-451.23099272364044,-344.3602951851669,50,26.596954
200,13936,-452.18981955568063,-313.82560750380844,61,81.922104
210,14589,-457.11360958578865,-259.08770664731435,102,323.01465
220,15427,-454.57572853814946,-282.5503528701529,83,449.30212
230,16075,-457.6388691916399,-322.6835287584084,67,-50.61882
240,16764,-456.17400688114617,-356.10663865786864,43,-2.1535034
250,17439,-452.8987060433109,-280.49440788987795,92,213.26743
260,18054,-457.4633423190838,-304.9741929643819,71,-26.252182
270,18818,-462.7981782248876,-364.05398284757047,50,-53.19275
280,19519,-458.53171718911267,-286.98096850712125,70,43.864105
290,20188,-452.20891656038424,-302.5478853304113,67,337.29565
300,20819,-450.6754336237599,-324.3284767334352,59,299.10956
310,21480,-455.4193944974641,-291.06920116578027,71,215.21884
320,22148,-450.7481910482528,-335.5862760169028,76,193.84161
330,22885,-459.69710019553224,-305.6560440231196,71,-4.1769943
340,23608,-453.0138743263875,-301.6730631753072,89,145.41156
350,24361,-455.2011893920063,-321.8987789874162,64,31.361816
360,25061,-450.3820577315538,-352.7146557773201,44,-20.530449
370,25726,-464.7159422070099,-351.67494667116983,49,75.22826
380,26398,-452.92626804928744,-309.7521402445801,75,173.44229
390,27054,-456.9738954792049,-317.6627764899385,65,46.81349
400,27910,-460.11988030876444,-320.9798327044703,81,239.44678
410,28522,-458.3238740838312,-354.90534266268725,59,-78.48153
420,29240,-452.1125567739691,-243.75650525171247,107,590.0469
430,29987,-461.65017428167255,-311.9642457605655,71,136.6872
440,30706,-451.4031987475954,-302.28668753401115,82,46.611923
450,31419,-451.39869154673653,-252.14594421739227,100,236.72516
460,32082,-451.8987734839461,-281.38539622161574,91,811.22766
470,32767,-456.13407855007324,-344.37932155387284,56,16.54583
480,33458,-454.55547087868376,-304.18643936169804,67,644.066
490,34132,-464.1058658502283,-361.7799794585571,53,-48.068115
500,34801,-454.0054694604624,-336.87231014833293,52,44.723236
510,35519,-459.24499937963424,-270.71453551642526,86,635.2323
520,36255,-452.2614619967277,-339.0990534438207,51,-3.224495
530,37033,-451.60134708122115,-333.4490291354402,53,32.625946
540,37785,-457.3554978237861,-314.30582797226026,71,94.84627
550,38458,-457.25545238921455,-309.17961368443827,66,120.701996
560,39096,-451.93951457353353,-331.48632269530276,54,-19.890732
570,39939,-453.99453999963083,-267.38757122364706,96,764.69324
580,40656,-452.0772644852474,-299.8697511606697,78,275.13675
590,41240,-459.75450428511226,-344.0175525222673,51,26.032364
600,41967,-451.5830123387586,-292.129110035138,90,125.89998
610,42588,-450.6870785313883,-315.9146023664619,70,-28.42862
620,43132,-455.67190837321374,-374.906643559406,38,-17.921623
630,43860,-452.21185098202966,-304.2380342158017,68,91.79909
640,44534,-450.7460426080226,-300.53893077672683,69,-40.07529
650,45275,-455.76234077878735,-341.4731406494673,66,195.43304
660,45944,-453.3629463339844,-319.88968295427077,62,55.35077
670,46560,-452.17205622171434,-341.4338188729539,52,8.486389
680,47268,-456.91772940329764,-243.36230360973383,124,439.17194
690,48030,-462.94954639035456,-302.16851342462945,86,371.27945
700,48661,-454.47811968397946,-287.80717636394934,66,13.212479
710,49310,-456.1885412178938,-364.1041516358254,45,-72.73003
720,49938,-457.74569537027264,-351.17287153275134,49,-83.22722
730,50704,-450.20576028703016,-350.25441178146434,68,131.33223
740,51347,-451.04349418681244,-289.4395631040481,89,189.03473
750,52035,-459.01162897287196,-295.23455954716286,101,325.00983
760,52642,-458.8945271504248,-323.87270634651253,70,152.81248
770,53406,-457.9000815847283,-340.6886760945217,58,-31.279037
780,54054,-457.22426222242564,-312.10730491392326,70,52.99907
790,54794,-466.44002963506296,-295.7088066102983,68,31.115768
800,55452,-450.5385382109098,-340.9484994851454,53,-81.0145
810,56101,-462.0812915231899,-329.4201500225924,59,-49.71073
820,56787,-459.4983210853647,-343.59694864650567,48,-179.17624
830,57402,-461.9269722952908,-340.105122224439,53,50.025208
840,58056,-458.80191284281455,-324.60327386492645,52,31.229904
850,58804,-459.60720137634047,-323.93173466781445,58,-144.07684
860,59428,-461.5123740513553,-290.20841241362893,77,252.48386
870,60161,-452.4948858302326,-319.4797298903255,66,76.85921
880,60936,-451.28643964396593,-268.36033360075385,101,838.0462
890,61652,-451.7328082278215,-339.2197860788011,49,-285.6371
900,62414,-450.2375777829619,-316.1246343174193,75,318.4493
910,63136,-450.58373731070753,-330.31667946591307,53,402.52466
920,63695,-456.118769976358,-363.02654934869366,43,-16.050774
930,64419,-456.0881158212813,-232.17387959467416,113,553.3863
940,65013,-451.9536923639734,-328.85068402829256,52,-9.534607
950,65749,-451.5347245736573,-329.43548534223356,55,25.08007
960,66379,-457.3057057491808,-364.15555095460206,41,-102.171104
970,67100,-460.75825503641096,-312.3506853260993,70,115.15906
980,67719,-455.15149466649217,-349.9248638598937,55,10.232056
990,68363,-450.2408281760022,-337.9164188249071,53,14.306915
1000,68984,-452.9501659407885,-334.8027937923251,51,-159.5625
1010,69618,-452.44233964113187,-293.4324552328355,69,59.99855
1020,70244,-456.9533321434605,-339.2259516327482,74,166.92633
1030,70958,-454.9905739853065,-345.5501289947382,48,-42.48069
1040,71657,-458.91908479025983,-300.53505799892565,69,84.95969
1050,72361,-460.08800200745014,-326.42387328327027,65,125.05881
1060,73176,-460.63723154313567,-289.6436246495405,84,24.037811
1070,73859,-457.7119181811108,-314.20750465009377,73,48.399445
1080,74579,-452.38999982206775,-321.35291078693604,59,-3.1702194
1090,75265,-457.0074235651224,-299.65362088373223,71,221.13016
1100,75934,-452.1780129584418,-328.5115782739762,69,77.71446
1110,76561,-458.9632959509266,-328.8080448571041,57,-15.106865
1120,77226,-452.2618099398567,-286.7922318567044,77,11.872475
1130,78012,-451.26770137947506,-305.8493151606381,75,105.22917
1140,78668,-453.7577110747029,-317.7042721958813,77,360.65662
1150,79412,-454.1338991644532,-349.9742372047417,47,-66.50668
1160,80076,-455.4931410249992,-312.3839097415666,92,447.06476
1170,80900,-458.86091497284764,-296.81187756318946,99,308.08362
1180,81590,-456.37570996632684,-342.4127699761236,54,49.676376
1190,82221,-456.7415282033655,-342.9300785086328,51,40.84909
1200,82879,-455.04202805689886,-324.94919353306216,50,-205.21117
1210,83639,-456.7173044656017,-248.3475654280318,129,840.82104
1220,84299,-456.0560500762694,-346.6736658063233,51,-7.4367294
1230,84973,-454.90220917230096,-344.9847178941971,59,12.904533
1240,85600,-452.69342543436017,-344.30299640351154,60,51.846436
1250,86195,-451.45424887593964,-304.6266063918146,65,280.228
1260,86819,-453.2470466217468,-361.27329792724146,49,-41.26825
1270,87578,-452.9411221493506,-283.90085439006003,69,99.00032
1280,88225,-456.45591101654367,-319.9340935397912,65,71.412674
1290,88757,-456.8242194016647,-367.0574525704144,44,-123.66822
1300,89520,-458.2365734163389,-363.4763060753342,43,-39.185272
1310,90206,-460.6917160463496,-270.4214557316812,77,345.58878
