episode,steps,reward,discounted_reward,steps,distance_traveled
0,60,-507.7083908839323,-202.0129581272928,60,208.72979736328125
10,602,-502.5375818555913,-258.7837239151467,41,-41.480384826660156
20,1151,-503.59931243304493,-234.40327289651762,67,91.01741027832031
30,1703,-504.2887825872507,-113.67274054888391,67,174.6546630859375
40,2163,-534.8311372022956,-237.48293958001,44,56.42509460449219
50,2687,-511.1016292035738,-208.74955830357524,63,295.4854431152344
60,3257,-577.6570495664045,-360.53147821334164,21,-63.24730682373047
70,3821,-508.34348263237393,-201.30713783404235,33,271.27801513671875
80,4324,-585.9577141866037,-202.52746378652756,37,160.63601684570312
90,4783,-503.331108454475,-188.52472320274768,51,-1.8146209716796875
100,5292,-516.9736662895627,-233.4280747661895,50,200.466064453125
110,5705,-502.9823286431432,-248.91405975927066,28,155.71420288085938
120,6181,-510.5775957542401,-188.0015702491126,67,396.16448974609375
130,6816,-505.93793277590754,-222.20583163008365,45,-195.77458953857422
140,7417,-507.5116294741193,-198.06311841706352,64,150.4770965576172
150,7944,-505.5652502885993,-225.94645234915959,55,178.13943481445312
160,8381,-501.4230933809881,-349.56131167344466,16,32.24273681640625
170,8917,-509.09991634521464,-99.94469446310471,76,675.3580322265625
180,9599,-504.27519821355736,-114.11252356862549,81,435.948974609375
190,10182,-512.6977379255494,-104.81349346832084,56,462.276123046875
200,10712,-515.805899087034,-266.18345755732275,37,-44.56480026245117
210,11207,-502.4695852043065,-128.37120813421313,62,87.59135437011719
220,11738,-500.4828466948104,-184.42376659590553,63,169.6019287109375
230,12172,-512.3845424885166,-266.5546385385622,42,-250.66500854492188
240,12721,-505.1217867467565,-156.4409543430499,78,154.474365234375
250,13222,-505.25244174931504,-227.58119973692882,55,79.05731201171875
260,13765,-502.0246945205975,-239.1941356568422,46,43.84629821777344
270,14232,-506.84351286901176,-259.15153970535414,29,300.9136657714844
280,14822,-505.0392226845639,-98.16751252131371,99,675.3861083984375
290,15349,-514.1873302410487,-186.8136179508976,54,-85.34302043914795
300,15761,-503.3132481331385,-206.36094367267373,56,143.9512939453125
310,16175,-509.2873822212979,-189.74816453663865,61,50.28233337402344
320,16725,-506.75699027710334,-232.8854832964391,49,-57.70085906982422
330,17104,-502.11726119969467,-225.72365756195913,49,169.60842895507812
340,17744,-501.4387030548633,-193.4493420418741,58,131.89710998535156
350,18203,-595.981664062156,-401.4443503079857,17,37.38539123535156
360,18628,-579.5430648392423,-112.08098135937682,73,475.89337158203125
370,19070,-505.27120209467773,-180.34210065722934,67,166.572509765625
380,19560,-506.4320426802084,-198.68492145406523,69,352.15203857421875
390,20037,-500.3192628504768,-218.6151183644629,46,-32.768409729003906
400,20512,-515.3722806202081,-205.39514117856783,45,152.7005615234375
410,21035,-514.3026139882319,-336.51008659535324,18,23.108901977539062
420,21523,-560.4095821642685,-359.13547572032536,19,0.5467605590820312
430,22096,-509.51300716753207,-131.6958672141773,76,441.4658203125
440,22570,-564.9919889488174,-312.7047420010605,26,4.298225402832031
450,23162,-505.63793586217037,-259.06621839979726,44,-62.75089645385742
460,23705,-574.6173437400498,-357.75636821175476,20,-3.7777252197265625
470,24242,-509.29969203986474,-175.18877011661124,88,431.06182861328125
480,24689,-503.45113671827585,-119.67865693947925,65,87.04859924316406
490,25381,-507.01087670671126,-99.38135628341053,112,757.0088500976562
500,25916,-547.34349109595,-327.1672426191476,20,118.09098815917969
510,26459,-500.9312949869951,-114.39733785294723,87,120.55033874511719
520,26903,-505.4860813720564,-271.40099682120587,38,-30.817489624023438
530,27521,-513.1547340053256,-205.12817974349105,56,298.4107971191406
540,28108,-504.2548731093395,-185.25389093064567,57,345.8586120605469
550,28792,-506.82959363627384,-258.2709156280983,43,-59.08875274658203
560,29235,-541.3980282680452,-323.3156900005541,21,-48.0052604675293
570,29832,-502.74963130228787,-100.72405250116721,111,885.3475341796875
580,30243,-502.84830240686944,-236.74116019868245,53,433.67041015625
590,30804,-538.7127887888928,-340.92844690742044,19,167.93643188476562
600,31408,-511.34888132615754,-82.41508284260489,97,475.5872802734375
610,31845,-530.3893112505418,-201.92120303412244,37,177.73876953125
620,32429,-507.56942126865505,-181.49350454072004,59,134.7724151611328
630,33004,-500.0788437800866,-153.78927215556564,74,422.74688720703125
640,33633,-502.5465776594849,-97.63412563685472,114,360.75982666015625
650,34297,-541.6974145360234,-109.63113908248837,86,202.13934326171875
660,34761,-507.97285507975937,-155.15915056728466,68,416.94891357421875
670,35225,-508.37859072577373,-272.6702252503882,40,-21.329147338867188
680,35743,-527.0333528538472,-230.94000682062514,33,170.86627197265625
690,36194,-512.7043073643175,-200.47362810826414,52,116.44815063476562
700,36573,-554.7317691343738,-341.4351154915088,21,150.04727172851562
710,37032,-513.5767531626288,-230.53470996353,66,298.2754211425781
720,37626,-510.55951465635036,-225.33548319238065,51,80.40719604492188
730,38192,-510.44027339305745,-249.57623914529088,44,-81.75640869140625
740,38696,-506.9137093483303,-272.07181641864463,25,167.94454956054688
750,39220,-507.2019914568975,-281.82885485776694,23,218.362060546875
760,39742,-503.29981655203994,-180.21335521388608,74,97.89251708984375
770,40230,-548.0014395610672,-251.07479118991392,30,129.177001953125
780,40743,-515.7093916350035,-230.2186594393005,30,207.87387084960938
790,41217,-510.40830242799916,-235.02947760911422,47,-68.93446731567383
800,41695,-529.2842906748816,-146.000425584837,53,236.10546875
810,42139,-577.8824019173788,-390.38528569674247,17,74.26162719726562
820,42573,-577.4287809353582,-302.5413753283585,25,279.33941650390625
830,43175,-504.3568358673233,-142.98510490529497,77,427.2412109375
840,43600,-508.98736228382165,-190.90384113195188,39,193.89825439453125
850,44122,-506.3895124674132,-258.6684045832787,51,120.94448852539062
860,44784,-500.058784626766,-134.88040054500814,88,493.408203125
870,45468,-501.47202401899625,-89.00311302688222,97,417.0474853515625
880,46069,-515.1198092063474,-184.87576032223959,54,47.93540954589844
890,46616,-527.8361628309867,-246.56714255096912,38,192.26031494140625
900,47173,-518.2326544404959,-158.92352297793207,60,137.32476806640625
910,47678,-524.7061537595223,-202.66677804740087,49,203.59942626953125
920,48201,-536.6085473844171,-255.53546305672813,33,402.30413818359375
930,48704,-500.48913698903357,-258.4662033923202,46,40.399932861328125
940,49183,-545.1948086408856,-341.8003291344312,20,68.28778076171875
950,49895,-505.4937771186517,-128.4715425375745,67,601.636474609375
