episode,steps,reward,discounted_reward,steps,distance_traveled
0,25,-527.319300819979,-276.41991171353425,25,95.14915466308594
10,625,-680.6189632632434,-361.15479784123437,23,164.54092407226562
20,1168,-511.32355109670505,-266.935524687277,47,-163.48120498657227
30,1660,-642.9015577716855,-217.5618201413347,40,198.43621826171875
40,2213,-519.6407912055587,-267.97011130075316,41,-181.47570037841797
50,2731,-507.60125828420485,-149.4858035371669,73,260.20111083984375
60,3264,-503.40032392437064,-239.57322609395504,45,-222.98334503173828
70,3693,-508.1284376542545,-206.41328575880203,87,194.78567504882812
80,4216,-504.83517118370537,-177.97763494434875,63,424.75018310546875
90,4676,-513.0885228393524,-234.44765494701176,27,135.6619873046875
100,5088,-501.1712133999367,-195.92657292487422,75,227.654296875
110,5593,-606.5952822420522,-349.1167932915182,21,222.96182250976562
120,6062,-579.9649409216032,-184.99738218466695,44,295.51470947265625
130,6589,-505.82410110024597,-106.72230768407864,86,167.03387451171875
140,7042,-510.6171672639103,-224.10486745584438,51,32.28752136230469
150,7483,-515.4714562089293,-329.45361025019787,17,68.05606079101562
160,7914,-503.4392548658151,-106.62023323935212,69,176.50216674804688
170,8377,-651.4728934359791,-203.88982936122602,39,97.09844970703125
180,8808,-500.7110304601249,-222.53446346135954,62,82.28530883789062
190,9437,-622.8408512956892,-360.73003086160054,21,164.28964233398438
200,9774,-508.375337831961,-237.91304851132242,48,-335.075927734375
210,10232,-590.9821507549369,-257.039955414684,31,209.53228759765625
220,10866,-506.0737260833304,-190.37368871040604,53,72.7794189453125
230,11411,-513.2863736745813,-260.32650595176057,41,-104.16422700881958
240,11845,-502.1074103801194,-304.15338719880884,19,118.08198547363281
250,12283,-535.5233197837288,-248.09466291665922,40,-46.57490921020508
260,12883,-508.4020535079939,-332.8468381903207,16,55.90264892578125
270,13314,-500.6481034889874,-220.18116785808323,42,112.82492065429688
280,13699,-522.6545782540408,-186.08019282822966,48,238.0311279296875
290,14025,-503.90180143991483,-257.3973436416606,23,125.3944091796875
300,14535,-501.3071527862988,-224.78577113197977,53,9.083175659179688
310,14998,-501.89896111303324,-175.72724765718283,54,83.9990234375
320,15489,-518.6777463771114,-255.42408700056552,26,156.84957885742188
330,15992,-628.3816198771913,-309.27500118702926,28,137.04010009765625
340,16587,-512.4073171814639,-64.52920980216727,76,17.657608032226562
350,17196,-501.4924978550793,-80.81116778262,106,-6.2874755859375
360,17612,-512.3670748941979,-229.78945734750758,44,120.56741333007812
370,18190,-509.9173214962951,-218.99389858615558,45,41.18211364746094
380,18764,-612.7974610990016,-399.0375341138454,17,130.51817321777344
390,19226,-501.0416985869848,-161.36214772273695,71,110.57243347167969
400,19692,-507.13158116514956,-165.7601641758877,80,509.12347412109375
410,20230,-621.1458992263397,-262.3551105275436,33,162.01702880859375
420,20704,-502.69940160872153,-200.93789684293986,54,49.21330261230469
430,21249,-505.6225722968265,-83.76565092345615,80,214.55303955078125
440,21848,-506.42259303716406,-279.938730348927,37,-313.86668395996094
450,22257,-632.6764549104021,-325.0327864207963,25,110.46199035644531
460,22774,-651.2333848254746,-245.3778428401796,40,98.19631958007812
470,23342,-503.13636594557386,-325.61660013853407,17,50.500213623046875
480,23929,-515.3354359984762,-86.45098122671862,73,374.5063171386719
490,24522,-619.9777710974606,-346.66696213442196,22,138.11956787109375
500,25009,-643.2435167580189,-401.7786316331609,18,48.70997619628906
510,25510,-507.03297522139684,-148.49936345980507,81,822.908935546875
520,26187,-513.3067028475732,-224.86803697550945,50,-84.73600959777832
530,26786,-529.7202422711339,-228.5490675008469,40,216.41012573242188
540,27245,-537.2051759853806,-136.42098020928742,55,393.5776062011719
550,27742,-512.5910318078434,-177.9313686372703,55,252.99566650390625
560,28240,-650.4551847003838,-424.72883127759417,17,10.334281921386719
570,28711,-500.2638470431308,-197.05730096046761,54,179.81158447265625
580,29086,-501.72955839282906,-248.0087136035855,37,-96.26335406303406
590,29438,-502.2612649415711,-160.7704873011483,52,72.6201171875
600,29952,-596.7366615192834,-355.7329771172233,21,-90.70447063446045
610,30485,-510.3003695915011,-143.1935451965625,66,306.8752746582031
620,31064,-507.48274304715085,-73.83181477692924,96,282.70147705078125
630,31533,-504.97758099725195,-356.574809257644,14,42.18443298339844
640,32078,-501.3493785981219,-144.56005227497468,68,-89.56853771209717
650,32513,-503.0953016881672,-288.23453740838636,21,145.14373779296875
660,33063,-571.4591416825274,-208.2427028617309,46,38.01725769042969
670,33494,-571.4179479211667,-150.62581397995456,55,693.623779296875
680,34129,-506.0049743279308,-256.421626143966,39,-121.26721572875977
690,34554,-500.5686626359158,-195.09838351736195,54,4.883460998535156
700,35058,-516.1627262750152,-230.1408841646174,44,153.52296447753906
710,35458,-539.1841817870303,-176.9299396977072,48,300.8181457519531
720,36053,-503.33069595050324,-236.34411124322162,41,10.172607421875
730,36514,-519.5353551854708,-162.65618245707012,57,208.34228515625
740,36932,-640.2984360692276,-322.6454385076688,28,21.980140686035156
750,37396,-543.683072023763,-178.76458627138956,53,464.4212646484375
760,37892,-655.8003911091573,-14.156439911676431,84,506.1356201171875
770,38330,-506.2924036444905,-206.11548889143216,46,20.62816619873047
780,38782,-577.7583090048004,-294.46085439493396,25,203.6094970703125
790,39314,-504.93813003289677,-231.23324743483334,38,190.57879638671875
800,39891,-549.5395989700984,-127.50976147341777,53,446.6376953125
810,40469,-509.2336475991281,-115.52360720018628,78,398.89569091796875
820,41011,-501.19553215213523,-98.61083523680449,115,432.74713134765625
830,41624,-535.4816345554675,-80.278928631456,70,275.83087158203125
840,42076,-671.2512122615174,-463.175958623643,15,68.51071166992188
850,42561,-505.6397366734774,-122.8044566952929,80,560.1318359375
860,43110,-502.45109760806446,-67.55274417356114,106,267.3002014160156
870,43607,-522.1964529705937,-182.31396520166007,51,137.71583557128906
880,44182,-523.5619813786607,-226.45724091845943,53,86.94613647460938
890,44688,-514.0484656627582,-259.3203094302512,44,-175.5682830810547
900,45298,-512.6619010601898,-156.32193804870585,64,-34.042701721191406
910,45699,-636.365660805676,-361.5493248402736,22,94.05349731445312
920,46170,-503.71704540620937,-241.3268869776442,37,66.49154663085938
930,46628,-543.2150244559693,-203.06418335465494,48,188.43212890625
940,47157,-507.27760791306684,-188.35117192053627,51,-33.757240295410156
950,47602,-598.5090533681343,-346.6696242487867,21,85.06465148925781
960,48088,-501.0158828033626,-161.09713609168662,71,235.67816162109375
970,48547,-603.8583032057694,-162.16322772846448,45,88.11741638183594
980,49099,-644.7140038143442,-317.92433787722655,25,198.9461669921875
990,49717,-523.6850456211799,-257.31787947681016,26,168.23464965820312
1000,50104,-507.86535163632715,-254.82042763939833,39,-269.90773010253906
1010,50641,-520.7885204025949,-250.44676315630875,34,118.14396667480469
1020,51306,-623.4277649641866,-150.48545926302572,86,298.7759704589844
1030,51924,-508.46893501777953,-185.64031666489592,65,92.55084228515625
1040,52532,-505.90499240362414,-159.1202117370245,55,82.33200073242188
1050,53098,-517.9103010907196,-170.72817821862012,71,683.7406616210938
