episode,steps,reward,discounted_reward,steps,distance_traveled
0,83,-522.477775097411,-136.2955378441102,83,969.195556640625
10,692,-555.1042656249925,-349.34383695547126,18,12.327644348144531
20,1280,-512.1067578041731,-333.06401949416806,17,82.47489929199219
30,1799,-556.1360067511557,-252.35809824196372,30,308.5397033691406
40,2401,-662.2029067543418,-385.5584083414758,21,93.67881774902344
50,2852,-559.0037968589768,-216.68781910348736,74,429.97100830078125
60,3266,-573.1775002471655,-314.26461648160875,22,153.10696411132812
70,3654,-615.0245106481779,-376.33849412011466,19,140.3448944091797
80,4016,-601.0757767726266,-256.5165133536442,40,11.203620910644531
90,4535,-501.9305917579918,-128.34828974494528,86,282.6768798828125
100,5022,-522.0305320425335,-65.9937121512416,93,538.0108642578125
110,5456,-514.9053879028531,-161.37193720316904,45,173.469482421875
120,6040,-503.9050531749335,-212.29714583054368,45,-67.53955078125
130,6497,-516.6600532567737,-262.8679401576864,43,-143.8570442199707
140,6996,-639.3667981350534,-103.81800396399217,54,476.21258544921875
150,7485,-504.799305161189,-158.08720195013495,54,122.45085144042969
160,8005,-501.04101651117594,-171.34026060545807,59,-29.541351318359375
170,8567,-620.5419603863527,-193.43194652842837,42,341.99066162109375
180,9265,-501.16985908553045,-52.2197861124329,112,621.409912109375
190,9744,-524.5944157593818,-305.01537733296016,20,99.85841369628906
200,10236,-643.3740697769731,-232.42048437458456,72,175.25146484375
210,10673,-655.0600999665539,-357.1767056023023,23,66.95707702636719
220,11170,-565.6836242249443,-131.16488688786808,67,861.8323364257812
230,11719,-513.5302972024529,-153.86363165004553,70,260.38232421875
240,12160,-502.84102346709193,-261.920531863842,46,135.91021728515625
250,12682,-524.4207697334708,-248.87685637407782,28,270.67437744140625
260,13167,-504.94475727073365,-102.6790028104859,84,47.736236572265625
270,13697,-504.2834175124023,-175.21641202777133,93,182.38043212890625
280,14181,-589.0749749189895,-142.14531361661577,54,322.561767578125
290,14569,-503.5212413089316,-111.07681714739277,78,170.40438842773438
300,15123,-647.8880779860206,-215.90427193725662,37,205.71676635742188
310,15718,-664.8332178296941,-394.60087311727114,20,123.41204833984375
320,16180,-516.3243259975864,-241.24089155413446,44,254.05978393554688
330,16479,-568.1318092230372,-340.4375161024085,20,20.58106231689453
340,16938,-554.0628408540935,-246.94688927818433,37,54.488800048828125
350,17467,-588.181123848705,-32.007981462576275,96,758.9227294921875
360,17962,-512.3361890941782,-198.92675968786784,55,188.96649169921875
370,18443,-509.59156752325606,-103.93025573351127,87,407.8591003417969
380,18861,-520.4861390916329,-262.7188407864663,33,39.07014465332031
390,19337,-549.6343865066274,-354.51947279148476,17,7.300514221191406
400,19879,-503.7588992057521,-184.91775199112143,42,141.62384033203125
410,20444,-576.0876993363852,-285.25706272629316,27,6.3400115966796875
420,20903,-502.7366396174945,-261.90303468143196,45,-5.258201599121094
430,21435,-500.2958298803606,-83.79018281838859,79,415.52545166015625
440,21785,-631.1617279802886,-166.4810020845263,48,656.2178955078125
450,22370,-516.9897997761749,-224.15978778317634,48,101.11175537109375
460,22918,-528.3078377602814,-172.78885890376336,53,147.70767211914062
470,23422,-579.4593119614264,-161.73102692107364,49,160.4810791015625
480,24112,-509.0947540613674,-130.4344370051511,104,188.91641235351562
490,24542,-521.6262203032662,-349.89907558148064,16,2.9927139282226562
500,25029,-514.812057573352,-220.58128174484142,47,47.71354675292969
510,25587,-627.0065541512956,-379.1605393092558,19,108.22337341308594
520,26045,-502.4922514926924,-157.46405512150113,55,88.063232421875
530,26517,-540.4793183797356,-359.03378010129626,16,3.589447021484375
540,26979,-580.227606937658,-316.3226431306422,23,25.633316040039062
550,27447,-503.1427325355904,-184.15206415005645,77,354.3559875488281
560,27926,-522.4473553005812,-378.97341634492597,13,30.298309326171875
570,28350,-540.7266341438917,-335.9221555279906,19,9.20928955078125
580,28802,-661.8695883453526,-417.4573965127111,18,192.87384033203125
590,29327,-508.1515056578632,-240.5056145993085,44,27.30512237548828
600,29895,-502.26159428553865,-174.58341716014428,107,357.5527038574219
610,30302,-612.2528351981266,-210.5954849360981,40,346.43145751953125
620,30789,-645.2995128990851,-235.50094409082183,34,282.4234313964844
630,31346,-511.29285230575294,-170.28091915156875,86,826.714111328125
640,31848,-501.4389647329398,-242.7492883155351,50,59.53228759765625
650,32213,-513.2691918875977,-214.1414103627698,55,540.143310546875
660,32598,-514.4364943135954,-160.11485991541988,56,59.52911376953125
670,33192,-647.7725128031027,-287.111425732949,29,172.95724487304688
680,33656,-525.62383110295,-245.04355200129953,42,-52.644073486328125
690,34057,-503.49010261597186,-92.39723522354288,81,693.957275390625
700,34577,-509.6081277957955,-255.05643138894786,45,-141.50151443481445
710,35224,-509.10537685561366,-193.42266089681763,64,76.89285278320312
720,35810,-500.2636552263264,-202.13161564140518,64,341.0957946777344
730,36279,-500.9425148384765,-145.45676957168607,83,1058.3980712890625
740,36789,-520.5510800590274,-244.62603053655127,40,276.5340270996094
750,37227,-509.25089205590376,-206.14105990817134,52,658.8496704101562
760,37786,-508.61439236503816,-176.32423849408184,70,784.4459838867188
770,38169,-557.1267690495122,-330.0981512604563,20,39.89764404296875
780,38485,-536.95023591127,-254.53627311649234,40,113.04080200195312
790,38989,-510.9663582410318,-220.22443793361256,35,61.012847900390625
800,39359,-569.1134242957662,-278.4692215891178,25,205.28094482421875
810,39660,-528.0580238507353,-249.90833567982185,41,-94.20378923416138
820,40099,-503.97547904207954,-236.31291130365605,53,-162.6600341796875
830,40675,-560.6664909926747,-184.45945696363236,44,120.40318298339844
840,41199,-536.1983754373733,-286.8186902636372,24,3.5358505249023438
850,41751,-534.7952493743943,-244.73341862303832,31,165.2720947265625
860,42266,-604.4587165808575,-265.95761348907786,29,212.91909790039062
870,42775,-504.5521734532861,-106.65490361895755,87,305.25396728515625
880,43124,-507.0102008114319,-218.53864569998672,54,32.23509216308594
890,43457,-504.14678776976166,-278.76587702867425,32,153.08245849609375
900,44050,-509.6719862521315,-200.31600185342165,58,27.95281219482422
910,44598,-610.8265494346015,-131.92938276216097,82,383.584228515625
920,45237,-592.5265048516458,-94.28391459993355,91,894.9578857421875
930,45708,-502.32561011615974,-65.37152112421929,88,325.6480407714844
940,46162,-528.7869828354093,-239.8777251347899,29,195.18328857421875
950,46747,-576.7594091925722,-187.18588268619803,68,106.67214965820312
960,47268,-508.0524995042899,-156.3851394800346,98,284.1497497558594
970,47632,-534.7301664685821,-134.53417725366893,54,261.23681640625
980,48154,-513.3355891934476,-192.57366632299124,77,-44.38633346557617
990,48544,-563.8797440219655,-155.4805477245568,50,159.34088134765625
1000,49151,-508.60024478615065,-204.09179330134398,66,116.99057006835938
1010,49590,-506.18221997860746,-237.9276377262854,49,-118.18077278137207
1020,50143,-640.1641992061427,-160.3247746463104,56,255.68350219726562
1030,50619,-509.9509388202664,-120.28550421587623,63,-40.36288833618164
1040,51200,-503.8040855567385,-93.79152377100806,85,369.01470947265625
1050,51717,-508.6983392655637,-165.91978493141542,55,296.15557861328125
1060,52136,-584.5651064290133,-111.27582441701276,65,162.62353515625
1070,52557,-554.939131772886,-338.1386750780053,20,9.954742431640625
1080,53207,-627.6359931092173,-149.81417616900222,123,408.8011169433594
1090,53632,-642.3345909397192,-235.623173749731,43,171.7373046875
1100,54137,-513.8261491528374,-251.66933642727005,41,36.38720703125
1110,54655,-505.78464093702325,-58.8099739199353,112,531.2423706054688
1120,55164,-501.96812517725164,-211.86628163796976,37,232.2818603515625
1130,55566,-513.2950150591375,-99.04610820798693,78,403.1399230957031
1140,56023,-613.5738427979136,-188.11837304567354,43,407.7230529785156
1150,56554,-509.0717331644969,-284.3155155087413,42,-66.59715270996094
1160,57067,-575.331887183371,-198.64374257569472,37,291.91064453125
1170,57486,-609.5295820129382,-359.0553156321257,20,226.17843627929688
1180,57891,-612.6778393667191,-410.1049921058895,16,182.66488647460938
1190,58358,-635.5933520157942,-238.35465153561802,34,336.1596374511719
1200,58841,-524.6623093506241,-224.07213204129363,49,347.8320617675781
1210,59230,-502.3828911219137,-151.01416428949972,76,104.82449340820312
1220,59724,-586.0381154884528,-198.04289562142284,57,-33.222930908203125
1230,60174,-529.6435363253746,-162.1839076773362,42,335.8677062988281
1240,60691,-541.2083346079872,-200.95718887268154,44,43.60113525390625
1250,61230,-503.3806484652105,-164.27152762208186,36,200.798095703125
1260,61712,-503.39278066501424,-188.49436910679108,49,26.090476989746094
1270,62270,-512.3577888641609,-262.50808133784153,30,-138.79709243774414
1280,62664,-545.5922830873831,-253.30650245066388,32,-85.79498481750488
1290,63288,-500.568442981112,-27.903885336993238,105,358.3242492675781
1300,63876,-506.44488058406796,-125.99643601473886,62,259.3301086425781
1310,64402,-504.1427295147637,-323.31322414662174,17,107.95477294921875
1320,64770,-647.4592570939147,-341.5412577616514,24,97.74113464355469
1330,65316,-500.20520365711525,-173.0895035003646,73,501.9508056640625
1340,65714,-575.5200316824521,-331.7653234317409,22,-12.415840148925781
1350,66384,-617.7094589440553,-413.3124985064768,16,149.86880493164062
1360,66840,-507.5815822494012,-259.23091325389754,48,7.9766845703125
1370,67380,-512.9242018309227,-178.74213297771593,49,181.7445068359375
1380,67966,-631.3544844285173,-248.84285224444005,40,222.6138916015625
1390,68688,-510.64876252016563,-109.56527663428419,84,759.700439453125
1400,69173,-506.98528131727943,-132.6423684125332,61,-49.515785217285156
1410,69688,-503.9857404572768,-144.980121721917,79,281.2301025390625
1420,70223,-505.35045358195424,-70.85375624332646,108,101.15927124023438
1430,70677,-503.4985506857694,-218.3397520249214,75,218.51358032226562
1440,71090,-503.98117979895807,-242.16233619850246,42,-125.13944625854492
1450,71557,-503.71200368398155,-166.48458079114002,55,-58.07115936279297
1460,71868,-533.2422656113329,-128.69703220220958,55,254.82620239257812
1470,72420,-507.23985318404425,-149.197530049169,102,1183.918212890625
1480,72746,-500.546464073725,-337.19014489585743,16,19.618057250976562
1490,73228,-505.28370693454235,-270.16548685978046,24,74.77052307128906
1500,73707,-501.8565648856915,-120.38771702493656,89,290.9277038574219
1510,74222,-520.0638678833542,-169.81920255819384,51,118.99075317382812
1520,74778,-506.82336819900536,-222.11148757151472,49,55.273834228515625
1530,75300,-539.141584466381,-193.42684641341523,45,140.34066772460938
1540,75858,-534.6368178270011,-224.2440888632867,45,193.0853271484375
1550,76258,-502.5476389838561,-121.51206165530434,79,143.66566467285156
1560,76742,-514.4507819193993,-207.57379550985831,49,254.34860229492188
1570,77297,-502.0903398985914,-200.68374666527512,48,125.56517028808594
1580,77919,-501.10569658995155,-114.58589977028716,103,271.48309326171875
1590,78496,-509.59157799542044,-36.958187026596654,128,548.8707885742188
1600,79029,-501.58063860939717,-202.02298791973024,65,102.48930358886719
1610,79512,-504.6406335892974,-246.46882061801745,42,-48.31665802001953
1620,80023,-543.1817816472152,-193.55233123854015,49,235.60467529296875
1630,80512,-636.3113170714784,-261.55925266595847,35,113.78408813476562
1640,80816,-500.2244902483256,-227.9524328759125,53,169.21267700195312
1650,81283,-592.8846307161365,-130.57330974175358,70,167.2276611328125
1660,81731,-528.6626177976178,-212.631496501978,42,153.25311279296875
1670,82172,-503.2264399672505,-230.43568889542775,52,-117.13963890075684
